Date,Carson City,Churchill,Clark,Douglas,Elko,Esmeralda,Eureka,Humboldt,Lander,Lincoln,Lyon,Mineral,Nye,Pershing,Storey,Washoe,White Pine,Total
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/5/20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/6/20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0
3/7/20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0
3/8/20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.0
3/9/20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.0
3/10/20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.0
3/11/20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7.0
3/12/20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10.0
3/13/20,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18.0
3/14/20,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20.0
3/15/20,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20.0
3/16/20,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0,45.0
3/17/20,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,0,55.0
3/18/20,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,12,0,55.0
3/19/20,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,14,0,84.0
3/20/20,2,0,126,0,1,0,0,0,0,0,0,0,0,0,0,14,0,143.0
3/21/20,2,0,126,0,1,0,0,0,0,0,0,0,0,0,0,22,0,151.0
3/22/20,2,0,126,0,1,0,0,0,0,0,0,0,0,0,0,25,0,154.0
3/23/20,3,0,126,0,2,0,0,0,0,0,0,0,0,0,0,25,0,156.0
3/24/20,2,0,212,2,2,0,0,0,0,0,0,0,1,0,0,44,0,263.0
3/25/20,2,0,249,3,2,0,0,0,0,0,1,0,1,0,0,50,0,308.0
3/26/20,2,0,350,3,2,0,0,0,0,0,1,0,1,0,0,57,0,416.0
3/27/20,2,0,443,3,2,0,0,1,0,0,1,0,1,0,0,67,0,520.0
3/28/20,5,0,443,5,2,0,0,1,0,0,1,0,1,0,0,75,0,533.0
3/29/20,5,0,528,5,3,0,0,1,0,0,1,0,1,0,0,107,0,651.0
3/30/20,5,0,753,5,3,0,0,1,0,0,1,0,1,0,0,111,0,880.0
3/31/20,5,0,869,6,5,0,0,3,0,0,1,0,1,0,0,121,1,1012.0
4/1/20,5,0,961,6,5,0,0,5,0,0,1,0,4,0,0,143,1,1131.0
4/2/20,5,0,1125,6,5,0,0,5,0,0,1,0,4,0,0,163,1,1315.0
4/3/20,5,0,1279,7,7,0,0,7,0,0,2,0,6,0,0,184,1,1498.0
4/4/20,10,0,1418,7,8,0,0,9,0,0,3,0,7,0,0,245,1,1708.0
4/5/20,10,0,1519,7,8,0,0,11,0,0,3,0,7,0,0,264,1,1830.0
4/6/20,11,0,1608,7,8,0,0,11,0,0,3,0,7,0,0,264,1,1920.0
4/7/20,11,0,1734,7,8,0,0,11,0,0,3,0,7,0,0,309,1,2091.0
4/8/20,13,0,1878,8,8,0,0,14,0,0,4,0,7,0,0,326,1,2259.0
4/9/20,14,0,2009,9,9,0,0,16,0,1,4,0,10,0,0,326,1,2399.0
4/10/20,15,0,2144,9,11,0,0,16,0,1,6,0,10,0,0,363,1,2576.0
4/11/20,16,0,2144,10,11,0,0,18,0,1,6,0,10,0,0,389,1,2606.0
4/12/20,16,0,2324,10,11,0,0,18,0,1,7,0,10,0,0,415,1,2813.0
4/13/20,22,0,2444,10,11,0,0,20,0,1,10,0,10,0,0,461,1,2990.0
4/14/20,23,0,2509,10,11,0,0,20,0,1,10,0,15,0,0,532,3,3134.0
4/15/20,25,0,2559,13,11,0,0,20,0,1,10,0,15,0,0,549,3,3206.0
4/16/20,25,1,2559,13,11,0,0,20,0,1,11,0,19,0,0,549,3,3212.0
4/17/20,27,1,2738,14,12,0,0,26,0,0,12,0,21,0,0,572,3,3426.0
4/18/20,28,3,2882,14,12,0,0,26,0,0,15,0,21,0,0,588,3,3592.0
4/19/20,28,3,2940,15,12,0,0,26,0,0,16,0,28,0,0,637,3,3708.0
4/20/20,28,3,2998,15,12,0,0,27,0,0,18,0,28,0,0,662,3,3794.0
4/21/20,28,3,3099,15,12,0,0,34,0,0,18,0,29,0,0,662,3,3903.0
4/22/20,28,3,3218,16,12,0,0,34,1,0,19,2,29,0,0,710,3,4075.0
4/23/20,31,3,3314,17,12,0,0,34,1,0,20,2,31,0,0,736,3,4204.0
4/24/20,31,3,3443,17,12,0,0,34,1,0,20,2,31,0,0,736,3,4333.0
4/25/20,34,3,3570,18,12,0,0,35,1,0,23,2,31,0,0,791,3,4523.0
4/26/20,37,3,3665,19,12,0,0,36,1,0,26,2,31,0,0,804,3,4639.0
4/27/20,39,3,3717,19,15,0,0,36,1,0,26,2,35,0,0,804,3,4700.0
4/28/20,44,3,3793,19,15,0,0,37,7,0,27,4,35,0,0,834,3,4821.0
4/29/20,44,3,3891,19,15,0,0,38,7,0,27,4,35,0,0,848,3,4934.0
4/30/20,45,3,3979,19,15,0,0,41,7,0,28,4,36,0,0,873,3,5053.0
5/1/20,47,3,4118,20,15,0,0,44,7,0,29,4,37,0,0,921,3,5248.0
5/2/20,48,3,4225,21,15,0,0,44,7,0,33,4,37,0,0,949,3,5389.0
5/3/20,48,3,4274,21,15,0,0,49,7,0,34,4,37,0,0,977,3,5472.0
5/4/20,48,3,4411,21,15,0,0,50,13,0,35,4,39,0,0,988,3,5630.0
5/5/20,51,3,4408,22,15,0,0,53,13,0,35,4,39,0,0,1014,3,5660.0
5/6/20,51,3,4473,22,15,0,0,58,14,1,36,4,39,0,0,1022,3,5741.0
5/7/20,51,3,4573,22,15,0,0,58,14,1,37,4,44,0,0,1030,3,5855.0
5/8/20,51,3,4573,23,15,0,0,58,14,1,37,4,44,0,0,1065,3,5891.0
5/9/20,52,3,4704,24,15,0,0,65,17,1,40,4,44,0,0,1077,3,6049.0
5/10/20,55,3,4750,24,15,0,0,67,17,1,42,4,44,0,0,1095,3,6120.0
5/11/20,56,3,4762,24,18,0,0,67,17,1,44,4,44,0,0,1100,3,6143.0
5/12/20,58,5,4869,24,18,0,0,71,19,2,45,4,48,0,0,1116,3,6282.0
5/13/20,58,5,5045,24,18,0,0,71,19,2,46,4,49,0,0,1132,3,6476.0
5/14/20,63,5,5045,24,18,0,0,71,19,2,46,4,49,0,1,1154,3,6504.0
5/15/20,65,5,5235,24,18,0,0,71,19,2,47,4,49,0,1,1190,3,6733.0
5/16/20,70,5,5298,25,20,0,0,71,19,2,47,4,58,0,1,1190,3,6813.0
5/17/20,71,5,5366,25,20,0,0,71,19,2,47,4,58,0,1,1256,4,6949.0
5/18/20,71,5,5463,25,21,0,0,74,19,2,48,4,58,0,1,1266,4,7061.0
5/19/20,75,6,5463,25,21,0,0,74,19,2,49,4,58,0,1,1295,4,7096.0
5/20/20,77,6,5650,26,21,0,0,76,19,2,49,4,58,0,1,1395,4,7388.0
5/21/20,81,6,5734,26,21,0,0,76,19,2,51,4,59,0,1,1316,4,7400.0
5/22/20,83,6,5815,26,21,0,0,78,19,2,51,4,59,0,1,1356,4,7525.0
5/23/20,83,6,5815,26,22,0,0,78,19,2,51,4,59,0,1,1356,4,7526.0
5/24/20,86,6,6140,27,22,0,0,78,19,2,55,4,59,0,1,1378,4,7881.0
5/25/20,90,6,6182,28,22,0,0,78,20,2,55,4,59,0,1,1405,4,7956.0
5/26/20,90,7,6226,29,22,0,0,78,20,2,56,4,59,0,1,1459,4,8057.0
5/27/20,91,7,6287,30,24,0,0,78,20,2,56,4,61,0,1,1485,4,8150.0
5/28/20,94,7,6352,30,24,0,0,78,20,2,57,4,61,0,1,1514,4,8248.0
5/29/20,95,7,6457,30,24,0,0,78,20,2,61,4,62,0,1,1531,4,8376.0
5/30/20,95,7,6579,31,24,0,0,78,20,2,62,4,62,0,1,1548,4,8517.0
5/31/20,98,7,6657,32,24,0,0,78,20,2,62,4,62,0,1,1577,4,8628.0
6/1/20,99,7,6719,32,24,0,0,78,20,2,65,4,62,0,1,1585,4,8702.0
6/2/20,99,8,6845,32,25,0,0,78,20,2,68,4,64,2,1,1606,4,8858.0
6/3/20,99,8,6923,35,26,0,0,78,21,2,67,4,64,2,1,1618,3,8951.0
6/4/20,102,8,7056,37,26,0,0,78,21,2,80,4,64,2,1,1645,3,9129.0
6/5/20,107,8,7186,38,27,0,0,78,21,2,81,4,66,2,1,1685,3,9309.0
6/6/20,109,8,7331,38,27,0,0,78,21,2,82,4,66,2,1,1719,3,9491.0
6/7/20,109,8,7483,38,27,0,0,78,21,2,84,4,66,2,1,1743,3,9669.0
6/8/20,111,10,7592,38,27,0,0,78,23,2,87,4,66,2,1,1772,3,9816.0
6/9/20,114,10,7799,38,27,0,0,78,23,2,89,4,66,3,1,1788,3,10045.0
6/10/20,115,10,7915,39,33,0,0,78,24,2,89,4,69,4,1,1832,3,10218.0
6/11/20,115,10,8100,39,39,0,0,78,24,2,89,4,72,4,1,1893,3,10473.0
6/12/20,115,10,8314,39,37,0,0,78,22,2,91,4,69,5,1,1914,3,10704.0
6/13/20,118,10,8556,42,37,0,0,78,22,2,91,4,73,5,1,1955,3,10997.0
6/14/20,120,10,8735,42,37,0,0,78,22,2,92,4,73,5,1,1977,3,11201.0
6/15/20,123,10,8815,46,37,0,0,78,22,2,92,4,74,5,1,2003,3,11315.0
6/16/20,124,10,9157,47,47,0,0,78,23,2,92,4,74,5,1,2016,3,11683.0
6/17/20,124,10,9318,47,47,0,0,78,23,2,94,4,75,5,1,2023,3,11854.0
6/18/20,126,10,9535,48,56,0,0,79,23,2,96,4,75,5,1,2106,3,12169.0
6/19/20,126,10,9852,49,56,0,0,79,26,2,98,4,76,5,1,2137,3,12524.0
6/20/20,127,10,10259,49,58,0,0,79,26,2,98,4,76,5,1,2179,3,12976.0
6/21/20,128,10,10486,52,60,0,0,79,24,2,99,4,78,5,1,2209,3,13240.0
6/22/20,128,10,10774,52,60,0,0,79,24,2,99,4,78,5,1,2209,3,13528.0
6/23/20,132,11,11186,54,75,0,0,80,28,2,102,4,80,7,1,2232,3,13997.0
6/24/20,134,11,11481,58,76,0,0,81,33,2,102,4,82,7,2,2286,3,14362.0
6/25/20,139,11,11878,60,79,0,0,82,32,2,104,4,81,6,2,2376,3,14859.0
6/26/20,146,11,12204,60,96,0,1,81,32,2,107,4,81,6,2,2404,3,15240.0
6/27/20,147,10,13174,62,105,0,1,81,32,2,108,4,90,6,2,2512,3,16339.0
6/28/20,149,10,13910,64,115,0,1,82,35,2,110,4,94,6,2,2573,3,17160.0
6/29/20,151,11,14607,64,111,0,1,83,35,2,112,5,100,6,2,2600,4,17894.0
6/30/20,151,11,15095,65,121,0,1,83,35,2,115,5,104,6,2,2656,4,18456.0
7/1/20,155,12,15604,69,125,0,1,83,35,2,120,5,112,6,2,2766,4,19101.0
7/2/20,161,13,16180,70,129,0,1,85,35,2,121,5,114,6,2,2804,5,19733.0
7/3/20,167,14,17028,70,135,0,1,85,35,2,123,5,116,6,2,2923,6,20718.0
7/4/20,172,16,17707,72,140,0,1,84,38,2,126,5,122,9,2,3073,6,21575.0
7/5/20,177,18,18442,73,144,0,1,84,38,2,127,5,125,9,2,3165,6,22418.0
7/6/20,180,18,18818,74,155,0,1,84,38,2,129,5,130,9,2,3258,6,22909.0
7/7/20,182,20,19654,76,162,0,1,86,38,2,132,5,150,9,2,3260,6,23785.0
7/8/20,185,20,20126,79,162,0,1,86,38,2,135,5,150,9,2,3295,6,24301.0
7/9/20,194,26,20622,80,184,0,1,89,38,2,136,5,181,10,2,3328,6,24904.0
7/10/20,200,26,21449,82,213,0,1,90,40,2,140,6,182,10,2,3459,6,25908.0
7/11/20,208,24,22286,84,240,0,1,90,43,2,140,6,186,12,2,3507,7,26838.0
7/12/20,213,27,23048,86,244,0,1,90,43,2,142,6,186,12,2,3574,7,27683.0
7/13/20,220,29,23803,86,244,0,1,91,43,2,145,6,188,12,2,3635,8,28515.0
7/14/20,223,29,24824,88,264,0,1,91,45,2,147,6,188,12,2,3689,8,29619.0
7/15/20,229,31,25611,94,274,0,1,91,45,2,149,8,193,13,2,3716,9,30468.0
7/16/20,230,31,26926,97,285,0,1,91,47,3,150,8,212,13,2,3810,9,31915.0
7/17/20,240,32,28189,97,295,0,1,91,47,3,155,10,215,13,2,3895,10,33295.0
7/18/20,248,34,29304,97,297,0,1,90,46,3,156,10,215,13,2,3951,10,34477.0
7/19/20,251,33,30432,101,325,0,2,91,47,3,154,10,236,13,3,4054,10,35765.0
7/20/20,252,33,31312,103,332,0,2,92,47,3,156,10,237,13,2,4108,11,36713.0
7/21/20,258,35,32025,106,341,0,2,92,47,3,159,10,251,13,2,4173,11,37528.0
7/22/20,260,36,33057,109,343,0,2,91,47,3,161,10,270,13,2,4242,11,38657.0
7/23/20,267,37,34209,112,350,0,2,91,47,3,162,11,270,13,2,4332,11,39919.0
7/24/20,267,38,35000,121,372,0,2,91,47,3,164,11,286,13,3,4456,11,40885.0
7/25/20,269,44,35786,126,386,0,2,93,47,3,169,11,288,13,3,4565,11,41816.0
7/26/20,275,43,36593,134,411,0,2,95,51,3,176,11,298,13,3,4724,11,42843.0
7/27/20,280,44,37492,140,416,0,2,95,51,3,177,11,305,13,3,4788,11,43831.0
7/28/20,288,43,38534,144,426,0,2,95,50,3,180,11,310,13,3,4823,11,44936.0
7/29/20,300,43,39345,149,426,0,2,95,49,3,183,11,311,13,4,4861,11,45806.0
7/30/20,302,44,40193,158,443,0,2,95,49,3,188,11,343,13,4,4965,11,46824.0
7/31/20,305,44,41245,162,461,0,2,96,49,3,194,11,342,13,4,5144,13,48088.0
8/1/20,308,44,42167,169,467,0,2,96,50,3,201,11,340,13,4,5186,13,49074.0
8/2/20,313,47,43147,174,482,0,2,96,50,4,204,11,351,13,4,5293,14,50205.0
8/3/20,318,48,44066,180,488,0,2,96,50,4,206,11,356,13,4,5343,14,51199.0
8/4/20,323,49,44997,183,493,0,2,96,50,4,209,11,362,13,4,5369,14,52179.0
8/5/20,325,49,45563,189,505,0,2,96,50,4,215,11,362,13,4,5426,14,52828.0
8/6/20,328,50,46184,191,512,0,2,99,50,4,217,11,374,13,4,5504,14,53557.0
8/7/20,330,50,46990,194,525,0,2,100,51,4,218,11,400,13,4,5627,14,54533.0
8/8/20,339,62,47739,199,535,0,2,102,51,5,222,11,405,13,4,5715,15,55419.0
8/9/20,352,69,48466,203,544,0,3,104,51,5,224,11,408,14,4,5756,16,56230.0
8/10/20,355,69,49151,205,553,0,3,105,51,5,230,11,408,14,5,5792,15,56972.0
8/11/20,357,69,49646,206,555,0,4,104,51,5,235,11,408,14,5,5835,15,57520.0
8/12/20,364,69,50081,208,562,0,4,104,51,5,239,11,408,14,6,5907,15,58048.0
8/13/20,371,82,50569,209,579,0,4,104,52,5,250,11,416,14,6,5962,16,58650.0
8/14/20,374,81,51457,215,613,0,4,104,52,5,259,11,421,14,6,6117,16,59749.0
8/15/20,382,82,52239,215,623,0,4,104,52,5,266,11,428,14,6,6161,16,60608.0
8/16/20,388,82,52867,216,640,0,5,104,52,5,269,11,439,14,6,6191,16,61305.0
8/17/20,388,82,53458,216,640,0,5,104,52,5,271,11,441,14,6,6258,16,61967.0
8/18/20,391,87,54076,216,643,0,5,104,52,5,273,11,441,15,6,6297,17,62639.0
8/19/20,396,81,54353,216,643,0,5,105,52,5,276,12,442,17,6,6402,17,63028.0
8/20/20,396,81,54795,223,669,0,5,105,54,5,281,12,442,17,6,6473,20,63584.0
8/21/20,397,82,55521,225,701,0,5,106,54,5,284,12,453,17,6,6545,20,64433.0
8/22/20,401,82,56010,226,719,0,5,106,54,7,293,12,455,17,6,6652,24,65069.0
8/23/20,405,82,56464,226,728,0,5,106,54,7,296,12,457,17,6,6712,24,65601.0
8/24/20,408,84,56796,229,731,0,5,109,56,7,300,12,458,17,6,6767,25,66010.0
8/25/20,412,84,57131,231,735,0,5,109,57,6,303,12,463,19,6,6816,24,66413.0
8/26/20,416,84,57283,233,735,0,5,109,58,6,308,12,464,19,6,6904,24,66666.0
8/27/20,417,84,57756,235,761,0,5,109,59,6,310,12,466,18,6,6951,25,67220.0
8/28/20,419,84,58292,235,777,0,5,111,59,6,311,12,467,19,6,7024,25,67852.0
8/29/20,424,84,58789,242,792,0,5,111,59,6,318,12,467,19,6,7102,25,68461.0
8/30/20,425,84,59153,244,792,0,5,111,59,6,324,12,467,21,6,7174,25,68908.0
8/31/20,427,84,59420,247,803,0,6,111,59,6,326,12,469,22,7,7204,25,69228.0
9/1/20,430,113,59716,252,813,0,6,111,61,6,332,12,469,21,7,7259,25,69633.0
9/2/20,434,113,59857,255,824,0,7,111,63,6,336,12,472,21,7,7326,28,69872.0
9/3/20,438,113,60144,256,824,0,7,111,63,6,345,12,477,21,7,7371,28,70223.0
9/4/20,446,113,60514,257,853,0,8,111,65,6,347,12,478,20,7,7446,29,70712.0
9/5/20,449,113,60819,259,860,0,8,113,65,6,351,12,480,20,8,7507,32,71102.0
9/6/20,451,113,61237,260,860,0,9,115,65,6,360,12,481,20,8,7581,32,71610.0
9/7/20,460,113,61476,261,863,0,10,116,65,6,361,12,482,20,9,7675,38,71967.0
9/8/20,460,113,61543,261,862,0,10,116,65,6,361,12,482,21,9,7745,38,72104.0
9/9/20,466,113,61642,261,864,0,10,116,66,6,364,12,483,21,9,7787,38,72258.0
9/10/20,469,113,61871,263,866,0,10,117,67,6,365,13,485,21,9,7827,44,72546.0
9/11/20,475,113,62057,265,875,0,10,117,67,6,372,13,488,21,9,7872,46,72806.0
9/12/20,484,113,62402,267,876,0,10,117,67,6,371,13,488,21,9,7930,46,73220.0
9/13/20,487,113,62650,269,883,0,10,117,67,6,374,13,490,21,9,7981,47,73537.0
9/14/20,490,130,62812,271,879,0,10,117,69,6,374,13,490,21,9,8077,46,73814.0
9/15/20,494,130,62952,274,887,0,10,118,69,6,377,13,490,21,9,8142,48,74040.0
9/16/20,509,131,63077,275,894,0,10,118,70,7,392,13,490,21,9,8184,48,74248.0
