Date,Atlantic,Bergen,Burlington,Camden,Cape May,Cumberland,Essex,Gloucester,Hudson,Hunterdon,Mercer,Middlesex,Monmouth,Morris,Ocean,Passaic,Salem,Somerset,Sussex,Union,Warren,Total
3/14/20,0,25,3,2,0,0,7,0,5,0,1,10,8,3,1,2,0,1,0,1,0,69.0
3/15/20,0,25,3,2,0,0,7,0,5,1,1,10,8,3,1,2,0,1,0,3,0,72.0
3/16/20,0,61,5,3,0,0,20,0,19,1,6,17,14,6,3,8,0,5,0,8,0,176.0
3/17/20,0,84,5,3,0,0,32,2,24,4,9,22,22,7,4,10,0,7,0,15,0,250.0
3/18/20,3,114,10,8,0,0,45,2,34,6,15,40,32,19,8,18,0,16,0,26,1,397.0
3/19/20,3,195,14,13,1,0,63,2,55,8,20,64,43,26,33,38,0,21,2,29,3,633.0
3/20/20,3,249,17,11,1,1,73,5,66,11,22,76,53,35,49,49,0,28,3,43,3,798.0
3/21/20,4,363,21,15,2,1,107,6,97,14,30,116,92,64,62,67,0,34,6,81,5,1187.0
3/22/20,5,457,26,22,2,1,172,8,126,16,40,147,158,119,102,95,1,51,12,124,9,1693.0
3/23/20,6,609,36,33,2,1,273,13,190,18,50,210,238,177,144,141,1,67,15,189,12,2425.0
3/24/20,6,701,42,51,3,2,342,19,234,25,58,277,288,204,180,216,1,102,18,246,15,3030.0
3/25/20,12,819,48,61,4,3,381,23,260,25,82,316,313,223,222,255,1,117,27,262,18,3472.0
3/26/20,10,1206,64,73,6,4,609,33,441,39,111,505,501,315,389,399,2,179,49,432,31,5398.0
3/27/20,14,1505,88,95,7,9,826,40,594,52,131,640,634,391,484,484,3,222,65,519,38,6841.0
3/28/20,17,1838,115,123,7,11,1086,51,771,61,168,808,781,442,624,608,3,258,81,742,51,8646.0
3/29/20,24,2169,142,163,9,11,1227,72,974,66,202,938,870,566,759,831,3,295,93,896,56,10366.0
3/30/20,29,2482,178,200,9,12,1564,89,1314,79,249,1123,1030,720,874,1091,3,349,113,1213,68,12789.0
3/31/20,31,2909,202,228,12,18,1900,114,1606,97,268,1277,1140,841,1022,1294,12,413,132,1418,76,15010.0
4/1/20,40,3494,255,289,22,27,2262,149,1910,117,333,1493,1301,942,1209,1494,19,472,158,1661,96,17743.0
4/2/20,50,4099,294,343,34,31,2617,169,2270,130,386,1766,1458,1082,1371,1750,20,549,179,2010,116,20724.0
4/3/20,72,4866,367,406,44,36,3067,183,2835,148,484,2125,1743,1298,1685,2216,25,641,210,2487,149,25087.0
4/4/20,98,5760,469,481,50,40,3584,215,3491,171,586,2578,2065,1618,2003,2856,25,765,236,2916,182,30189.0
4/5/20,121,6187,547,556,77,54,4082,248,3924,189,654,2950,2354,1800,2177,3227,26,833,267,3216,195,33684.0
4/6/20,132,6862,646,645,85,64,4493,279,4395,211,740,3263,2545,1956,2374,3756,29,902,292,3685,215,37569.0
4/7/20,144,7533,733,736,94,71,5078,311,4949,234,837,3717,2770,2239,2641,4104,31,1033,331,4368,255,42209.0
4/8/20,168,7874,801,838,100,80,5598,340,5437,255,992,4156,3038,2468,2856,4372,36,1160,357,4831,289,46046.0
4/9/20,191,8343,883,990,109,111,6069,413,5879,286,1161,4628,3248,2645,3093,4690,43,1335,392,5203,319,50031.0
4/10/20,211,8928,954,1072,116,138,6580,447,6411,293,1282,5060,3496,2771,3269,5017,46,1523,413,5575,337,53939.0
4/11/20,230,9362,1031,1180,129,154,7007,487,6851,301,1434,5406,3651,2925,3403,5295,56,1642,456,5865,362,57227.0
4/12/20,253,9784,1095,1270,145,165,7410,532,7469,314,1567,5693,3785,3099,3554,5590,61,1732,483,6180,395,60576.0
4/13/20,267,10092,1155,1401,164,187,7634,566,7879,325,1646,5987,3875,3225,3593,5950,66,1809,508,6636,416,63381.0
4/14/20,284,10426,1207,1477,169,201,8212,587,8242,349,1731,6313,4003,3424,3833,6438,73,1911,535,7265,442,67122.0
4/15/20,322,10848,1261,1587,178,210,8579,602,8511,356,1856,6576,4122,3525,4016,6750,84,2001,551,7438,468,69841.0
4/16/20,344,11409,1326,1734,186,223,9084,624,9165,373,2037,6994,4299,3701,4272,7317,95,2103,578,7904,501,74269.0
4/17/20,370,11863,1366,1807,189,263,9672,664,9636,385,2123,7308,4414,3822,4424,7604,102,2195,591,8429,521,77748.0
4/18/20,382,12163,1456,1918,199,272,9901,683,9956,391,2215,7624,4528,3984,4548,7936,105,2283,626,8959,543,80672.0
4/19/20,398,12639,1587,2131,206,308,10304,737,10486,407,2395,8017,4669,4136,4648,8288,116,2384,659,9609,592,84716.0
4/20/20,410,13011,1663,2255,212,338,10729,770,11150,419,2591,8346,4787,4236,4868,8479,120,2488,680,9972,613,88137.0
4/21/20,469,13356,1765,2379,217,360,11128,808,11221,423,2591,8346,4787,4236,4868,8479,120,2488,688,9972,613,89314.0
4/22/20,505,13686,1878,2528,227,382,11387,856,12088,434,2845,9047,5086,4556,5234,9392,134,2688,743,10484,689,94869.0
4/23/20,544,14049,1969,2683,236,424,11811,899,12681,464,2991,9530,5238,4680,5444,9874,164,2798,784,10935,719,98917.0
4/24/20,566,14363,2054,2750,247,466,12110,923,13011,490,3086,9789,5368,4716,5612,10291,169,2921,795,11208,729,101664.0
4/25/20,596,14738,2153,2870,261,504,12520,949,13367,505,3245,10075,5521,4821,5811,10738,177,3030,812,11523,750,104966.0
4/26/20,638,14965,2333,2983,281,520,12863,976,13708,536,3355,10642,5671,4976,5962,11137,181,3144,855,11853,778,108357.0
4/27/20,749,15104,2407,3124,281,595,13047,1111,13925,564,3433,10767,5759,5030,6024,11349,212,3204,864,12011,810,110370.0
4/28/20,868,15251,2543,3285,299,659,13190,1179,14309,573,3605,11102,5826,5128,6151,11755,219,3278,882,12188,848,113138.0
4/29/20,908,15446,2606,3385,305,687,13445,1208,14596,583,3725,11436,5907,5213,6253,12185,227,3372,900,12380,880,115647.0
4/30/20,964,15610,2690,3519,323,723,13682,1251,14916,603,3937,11715,6033,5287,6375,12449,231,3464,921,12578,903,118174.0
5/1/20,1012,15830,2769,3646,334,746,13994,1282,15148,608,4077,11947,6132,5354,6505,12814,237,3537,936,12779,920,120607.0
5/2/20,1050,15974,2879,3773,337,809,14248,1334,15401,622,4271,12213,6198,5406,6692,13082,261,3605,949,12996,941,123041.0
5/3/20,1075,16185,3043,3973,344,881,14521,1384,15769,661,4504,12597,6290,5517,6871,13364,270,3703,969,13225,957,126103.0
5/4/20,1135,16282,3100,4073,355,940,14621,1433,15881,665,4594,12768,6378,5549,6974,13496,312,3753,979,13357,977,127622.0
5/5/20,1190,16460,3207,4251,369,985,14840,1467,16099,679,4743,13142,6490,5625,7060,13797,347,3820,987,13503,982,130043.0
5/6/20,1246,16520,3235,4307,378,1059,14951,1499,16197,682,4860,13254,6552,5655,7125,13971,353,3860,995,13604,993,131296.0
5/7/20,1302,16609,3367,4479,401,1090,15215,1548,17142,685,4986,13411,6649,5702,7209,14133,358,3914,1006,13781,1004,133991.0
5/8/20,1423,16709,3431,4619,424,1124,15350,1593,17365,701,5111,13617,6752,5767,7277,14280,363,3968,1015,13917,1034,135840.0
5/9/20,1494,16804,3531,4758,442,1245,15544,1631,17365,706,5233,13759,6815,5833,7366,14428,400,3996,1023,13984,1040,137397.0
5/10/20,1510,16929,3574,4870,458,1287,15646,1654,17513,714,5317,13937,6894,5854,7462,14543,411,4054,1026,14057,1044,138754.0
5/11/20,1533,17028,3665,4959,462,1363,15727,1690,17801,723,5393,14036,6988,5876,7569,14645,411,4093,1033,14164,1047,140206.0
5/12/20,1558,17091,3697,5043,471,1427,15826,1710,17677,729,5426,14121,7041,5908,7633,14716,418,4115,1046,14203,1061,140917.0
5/13/20,1584,17150,3726,5099,479,1447,15905,1728,17451,732,5499,14241,7090,5926,7688,14757,428,4127,1042,14306,1066,141471.0
5/14/20,1649,17080,3782,5172,483,1471,15905,1756,17602,764,5612,14332,7164,5954,7742,14887,438,4159,1046,14385,1068,142451.0
5/15/20,1678,17195,3849,5255,487,1488,16103,1788,18048,777,5673,14429,7224,5990,7829,14930,446,4181,1050,14492,1072,143984.0
5/16/20,1716,17246,3875,5381,500,1592,16151,1811,18048,795,5719,14514,7297,6012,7878,15031,457,4212,1053,14569,1077,144934.0
5/17/20,1758,17361,3937,5455,503,1608,16204,1832,18498,808,5825,14668,7339,6036,7913,15205,459,4255,1060,14702,1078,146504.0
5/18/20,1807,17459,3986,5573,506,1679,16712,1907,18498,846,5950,14752,7408,6092,7994,15278,465,4278,1061,14903,1086,148240.0
5/19/20,1838,17522,4000,5644,518,1759,16747,1935,18679,885,6018,14834,7470,6100,8067,15371,470,4312,1065,15031,1091,149356.0
5/20/20,1875,17518,4058,5738,531,1830,16952,1966,18880,920,6162,14954,7541,6139,8165,15426,481,4349,1069,15122,1100,150776.0
5/21/20,1895,17583,4097,5818,534,1869,16980,2002,18880,925,6205,15057,7637,6155,8214,15497,484,4390,1077,15176,1111,151586.0
5/22/20,1919,17653,4217,5923,545,1921,17014,2031,18880,938,6295,15165,7695,6171,8285,15604,523,4416,1075,15191,1118,152579.0
5/23/20,1936,17668,4252,5953,558,1924,17160,2044,18959,938,6351,15215,7720,6192,8316,15610,535,4425,1079,15186,1119,153140.0
5/24/20,1961,17804,4308,6024,561,1947,17214,2066,18879,960,6413,15351,7800,6207,8372,15686,552,4450,1079,15169,1125,153928.0
5/25/20,2028,17901,4355,6103,570,1991,17248,2089,18879,966,6491,15437,7865,6259,8430,15774,566,4480,1084,15218,1132,154866.0
5/26/20,2049,17963,4381,6171,571,2024,17279,2103,18927,967,6544,15499,7911,6279,8462,15826,573,4489,1089,15293,1136,155536.0
5/27/20,2087,18023,4432,6227,592,2098,17338,2130,18606,973,6592,15547,7961,6289,8514,15873,579,4505,1095,15324,1145,155930.0
5/28/20,2120,18158,4476,6292,602,2146,17516,2165,18660,974,6670,15633,8012,6354,8577,15959,592,4522,1104,15475,1146,157153.0
5/29/20,2154,18223,4519,6350,611,2209,17561,2198,18919,981,6775,15734,8100,6367,8627,16045,602,4552,1106,15610,1153,158396.0
5/30/20,2183,18211,4567,6425,615,2259,17594,2217,18919,985,6850,15824,8159,6383,8700,16099,621,4567,1110,15764,1162,159214.0
5/31/20,2214,18272,4627,6510,617,2298,17649,2234,18767,993,6933,15921,8219,6463,8748,16170,634,4583,1110,15821,1160,159943.0
6/1/20,2222,18302,4657,6543,623,2310,17733,2245,18801,996,6961,15977,8249,6506,8770,16200,639,4595,1114,15858,1165,160466.0
6/2/20,2251,18333,4680,6603,628,2345,17761,2262,18822,999,7004,16021,8289,6512,8817,16234,645,4605,1123,15868,1173,160975.0
6/3/20,2284,18376,4700,6645,629,2431,17813,2278,18852,1006,7033,16066,8332,6540,8853,16277,653,4619,1128,15911,1182,161608.0
6/4/20,2286,18408,4725,6663,630,2469,17912,2290,18875,1009,7072,16072,8379,6548,8900,16311,659,4626,1131,15953,1186,162104.0
6/5/20,2309,18463,4746,6732,637,2531,18019,2310,18875,1015,7120,16137,8428,6572,8954,16387,665,4651,1155,16038,1189,162933.0
6/6/20,2330,18492,4769,6785,643,2557,18066,2319,18916,1022,7148,16203,8454,6584,8979,16436,670,4664,1160,16116,1190,163503.0
6/7/20,2364,18512,4785,6799,646,2564,18077,2328,18916,1023,7166,16198,8478,6592,9022,16449,675,4662,1160,16186,1189,163791.0
6/8/20,2383,18538,4798,6827,647,2575,18117,2332,19000,1025,7184,16227,8498,6602,9041,16461,682,4670,1172,16241,1192,164212.0
6/9/20,2401,18573,4808,6849,654,2583,18151,2340,19000,1027,7204,16251,8512,6605,9059,16492,686,4679,1172,16302,1193,164541.0
6/10/20,2422,18667,4826,6903,662,2604,18206,2357,19066,1028,7245,16288,8563,6596,9100,16524,687,4698,1179,16317,1197,165135.0
6/11/20,2431,18719,4832,6938,663,2627,18234,2367,19066,1032,7275,16327,8627,6601,9166,16555,689,4721,1179,16337,1198,165584.0
6/12/20,2453,18743,4848,6952,664,2645,18295,2379,19149,1034,7295,16353,8660,6556,9200,16581,699,4736,1179,16351,1200,165972.0
6/13/20,2475,18805,4866,6986,669,2661,18336,2402,19149,1038,7323,16385,8720,6568,9222,16612,705,4756,1190,16337,1202,166407.0
6/14/20,2490,18818,4876,7018,671,2666,18364,2414,19177,1039,7351,16430,8740,6581,9244,16627,706,4759,1190,16322,1202,166685.0
6/15/20,2497,18848,4894,7025,672,2697,18375,2416,19195,1041,7371,16458,8761,6588,9258,16649,708,4764,1190,16308,1202,166917.0
6/16/20,2539,18901,4929,7040,681,2728,18388,2423,19238,1042,7381,16474,8786,6599,9279,16664,711,4767,1190,16320,1205,167285.0
6/17/20,2553,18928,4935,7047,682,2745,18421,2428,19238,1049,7393,16513,8804,6627,9306,16683,723,4780,1203,16315,1206,167579.0
6/18/20,2583,18949,4954,7061,680,2755,18499,2438,19249,1049,7416,16547,8830,6652,9351,16706,736,4786,1208,16304,1205,167958.0
6/19/20,2619,18967,4981,7088,681,2767,18533,2451,19257,1050,7463,16563,8876,6679,9382,16725,745,4796,1213,16291,1209,168336.0
6/20/20,2638,18996,4994,7117,705,2792,18531,2457,19280,1053,7489,16592,8925,6689,9413,16735,748,4806,1216,16298,1211,168685.0
6/21/20,2702,19010,5023,7135,688,2847,18551,2467,19280,1054,7541,16605,8942,6699,9425,16769,750,4813,1220,16322,1216,169059.0
6/22/20,2722,19037,5046,7153,692,2876,18578,2471,19316,1060,7549,16618,8965,6718,9440,16772,752,4819,1220,16340,1218,169362.0
6/23/20,2750,19069,5056,7163,694,2894,18592,2489,19316,1062,7560,16640,8998,6727,9466,16794,752,4818,1220,16341,1221,169622.0
6/24/20,2771,19097,5068,7185,697,2908,18617,2497,19333,1064,7572,16640,9008,6724,9486,16788,750,4819,1224,16330,1222,169800.0
6/25/20,2787,19167,5084,7212,704,2917,18637,2518,18775,1065,7595,16667,9030,6685,9508,16819,751,4828,1183,16334,1224,169490.0
6/26/20,2811,19264,5092,7245,706,2925,18666,2531,18788,1065,7621,16685,9057,6698,9535,16843,754,4831,1185,16356,1225,169883.0
6/27/20,2822,19275,5125,7278,705,2936,18696,2547,18814,1065,7619,16724,9082,6715,9545,16868,755,4841,1184,16353,1227,170176.0
6/28/20,2839,19354,5136,7284,732,2942,18716,2557,18834,1074,7626,16764,9108,6730,9570,16867,756,4857,1189,16368,1228,170531.0
6/29/20,2845,19375,5142,7297,712,2946,18731,2563,18838,1076,7634,16764,9110,6735,9575,16876,762,4858,1190,16377,1230,170636.0
6/30/20,2863,19423,5168,7317,740,2963,18758,2578,18841,1080,7659,16816,9140,6738,9614,16879,768,4869,1192,16386,1233,171025.0
7/1/20,2878,19445,5189,7368,712,2980,18771,2596,18842,1081,7676,16825,9163,6757,9627,16894,778,4881,1197,16384,1241,171285.0
7/2/20,2898,19474,5221,7406,713,2991,18804,2610,18874,1083,7693,16852,9211,6777,9631,16920,779,4912,1198,16394,1243,171684.0
7/3/20,2924,19532,5238,7419,714,2998,18842,2619,18913,1085,7711,16884,9248,6790,9666,16927,794,4919,1199,16416,1246,172084.0
7/4/20,2926,19562,5243,7434,715,3005,18859,2630,18945,1087,7727,16901,9272,6800,9682,16941,797,4928,1210,16441,1249,172354.0
7/5/20,2936,19625,5262,7479,716,3017,18887,2645,18976,1088,7740,16913,9308,6809,9706,16954,802,4937,1209,16455,1253,172717.0
7/6/20,2949,19655,5277,7496,720,3021,18895,2656,18990,1090,7745,16957,9320,6820,9716,16963,805,4943,1211,16432,1255,172916.0
7/7/20,2961,19676,5295,7536,720,3029,18918,2671,19016,1090,7756,16966,9346,6830,9738,16974,807,4945,1214,16450,1258,173196.0
7/8/20,2962,19732,5306,7573,718,3030,18920,2691,19024,1091,7751,16956,9362,6854,9753,16978,808,4950,1219,16443,1262,173383.0
7/9/20,2976,19771,5316,7600,723,3032,18928,2697,19037,1094,7765,16952,9371,6864,9773,17000,811,4952,1220,16462,1261,173605.0
7/10/20,2987,19827,5332,7631,726,3043,18954,2712,19056,1096,7773,17005,9404,6875,9781,17030,812,4974,1221,16460,1262,173961.0
7/11/20,3001,19847,5360,7670,732,3046,18988,2739,19089,1094,7778,17020,9437,6887,9804,17050,813,4998,1225,16471,1263,174312.0
7/12/20,3015,19871,5375,7692,732,3051,19008,2758,19121,1094,7789,17035,9482,6902,9820,17064,815,5014,1229,16501,1265,174633.0
7/13/20,3023,19891,5382,7716,733,3056,19039,2764,19135,1094,7795,17059,9515,6909,9828,17080,815,5018,1230,16519,1265,174866.0
7/14/20,3047,19907,5412,7746,740,3063,19058,2788,19193,1095,7807,17089,9542,6921,9867,17105,818,5036,1233,16537,1267,175271.0
7/15/20,3060,19927,5419,7775,744,3068,19100,2797,19219,1098,7815,17119,9605,6926,9890,17127,821,5057,1236,16563,1267,175633.0
7/16/20,3079,19950,5430,7786,747,3072,19119,2808,19240,1098,7827,17142,9626,6932,9902,17150,822,5059,1241,16567,1268,175865.0
7/17/20,3087,19966,5419,7791,749,3074,19111,2808,19246,1099,7828,17162,9636,6937,9917,17154,824,5061,1240,16540,1272,175921.0
7/18/20,3109,19979,5440,7818,752,3075,19105,2820,19261,1101,7844,17174,9649,6952,9940,17167,830,5070,1243,16546,1273,176148.0
7/19/20,3116,19980,5442,7829,754,3076,19105,2824,19248,1100,7825,17158,9659,6958,9947,17162,831,5065,1246,16508,1276,176109.0
7/20/20,3126,20034,5450,7845,757,3079,19121,2829,19263,1100,7828,17168,9672,6967,9956,17172,831,5068,1250,16517,1280,176313.0
7/21/20,3148,20052,5478,7867,760,3088,19153,2855,19267,1101,7839,17155,9683,6990,9988,17181,837,5072,1253,16515,1286,176568.0
7/22/20,3161,20099,5490,7888,762,3095,19173,2870,19281,1102,7858,17379,9720,7010,10054,17196,841,5082,1256,16351,1295,176963.0
7/23/20,3169,20133,5502,7910,767,3100,19198,2894,19289,1102,7869,17442,9748,7016,10074,17214,843,5094,1259,16297,1296,177216.0
7/24/20,3189,20162,5533,7952,776,3108,19228,2920,19313,1113,7879,17476,9791,7035,10116,17237,849,5106,1264,16321,1302,177670.0
7/25/20,3222,20192,5567,8026,780,3118,19263,2945,19329,1115,7899,17514,9822,7052,10171,17274,855,5120,1271,16335,1308,178178.0
7/26/20,3245,20226,5594,8087,788,3127,19310,2969,19363,1120,7917,17535,9857,7065,10206,17312,856,5131,1277,16359,1312,178656.0
7/27/20,3271,20280,5642,8130,800,3144,19335,2986,19387,1122,7934,17557,9908,7076,10238,17327,859,5139,1285,16376,1315,179111.0
7/28/20,3297,20341,5684,8167,800,3166,19376,2999,19399,1123,7966,17580,9947,7091,10293,17348,866,5155,1286,16410,1321,179615.0
7/29/20,3323,20391,5721,8225,802,3178,19428,3017,19430,1125,7984,17615,9985,7102,10330,17370,866,5163,1290,16439,1327,180111.0
7/30/20,3331,20412,5732,8240,803,3184,19441,3031,19434,1125,8000,17626,10004,7109,10356,17384,867,5170,1293,16456,1326,180324.0
7/31/20,3364,20472,5781,8301,806,3215,19488,3059,19478,1130,8020,17673,10057,7136,10414,17429,865,5177,1295,16523,1329,181012.0
8/1/20,3381,20494,5812,8334,809,3228,19505,3080,19497,1136,8027,17700,10093,7144,10439,17465,869,5186,1300,16545,1329,181373.0
8/2/20,3393,20521,5831,8357,810,3240,19526,3097,19511,1137,8042,17713,10117,7156,10459,17493,871,5190,1307,16575,1330,181676.0
8/3/20,3408,20552,5846,8375,813,3253,19558,3106,19528,1138,8051,17735,10137,7167,10469,17507,877,5195,1307,16590,1330,181942.0
8/4/20,3420,20609,5880,8400,817,3275,19588,3130,19544,1139,8063,17765,10170,7179,10501,17532,880,5199,1314,16590,1331,182326.0
8/5/20,3436,20639,5907,8442,819,3290,19611,3164,19564,1144,8076,17798,10192,7195,10520,17550,881,5202,1316,16605,1336,182687.0
8/6/20,3442,20669,5927,8464,823,3309,19644,3193,19580,1144,8087,17821,10227,7209,10551,17585,886,5217,1320,16622,1339,183059.0
8/7/20,3446,20694,5952,8499,822,3318,19686,3216,19607,1146,8104,17857,10267,7224,10564,17599,886,5223,1322,16636,1340,183408.0
8/8/20,3456,20751,5977,8525,824,3332,19715,3236,19641,1148,8115,17884,10284,7235,10585,17623,892,5231,1327,16663,1343,183787.0
8/9/20,3463,20794,6007,8562,832,3338,19728,3248,19671,1149,8119,17919,10302,7248,10596,17642,894,5245,1330,16695,1345,184127.0
8/10/20,3469,20825,6025,8580,834,3348,19747,3258,19683,1149,8127,17932,10326,7261,10603,17665,898,5253,1333,16725,1345,184386.0
8/11/20,3497,20864,6042,8614,840,3366,19776,3283,19717,1149,8139,17959,10348,7273,10640,17705,906,5265,1336,16749,1347,184815.0
8/12/20,3509,20899,6069,8645,842,3377,19813,3310,19749,1150,8143,17988,10368,7286,10652,17748,907,5275,1341,16780,1347,185198.0
8/13/20,3521,20940,6094,8689,843,3386,19840,3339,19792,1151,8164,18015,10407,7304,10668,17801,912,5282,1343,16812,1352,185655.0
8/14/20,3535,21058,6108,8733,846,3396,19870,3368,19830,1154,8169,18045,10434,7315,10708,17858,919,5291,1344,16827,1355,186163.0
8/15/20,3566,21120,6128,8774,846,3420,19911,3400,19866,1158,8182,18070,10459,7332,10740,17915,924,5300,1349,16847,1362,186669.0
8/16/20,3585,21195,6145,8793,847,3427,19927,3413,19892,1161,8190,18099,10474,7341,10752,17950,930,5307,1351,16869,1365,187013.0
8/17/20,3602,21277,6159,8820,848,3438,19938,3445,19911,1163,8199,18119,10496,7350,10763,17963,933,5317,1353,16879,1368,187341.0
8/18/20,3618,21303,6175,8845,853,3441,20001,3458,19936,1165,8211,18133,10509,7358,10805,18002,937,5323,1355,16898,1370,187696.0
8/19/20,3632,21307,6201,8882,858,3454,20036,3481,19955,1171,8225,18168,10524,7371,10826,18039,941,5329,1355,16921,1373,188049.0
8/20/20,3643,21261,6228,8899,863,3465,20033,3497,19970,1180,8237,18185,10533,7382,10836,18058,941,5331,1357,16927,1377,188203.0
8/21/20,3651,21282,6247,8920,867,3475,20052,3516,19989,1182,8248,18219,10545,7391,10857,18085,945,5336,1358,16947,1377,188489.0
