Date,Barbour,Berkeley,Boone,Braxton,Brooke,Cabell,Calhoun,Clay,Doddridge,Fayette,Gilmer,Grant,Greenbrier,Hampshire,Hancock,Hardy,Harrison,Jackson,Jefferson,Kanawha,Lewis,Lincoln,Logan,Marion,Marshall,Mason,McDowell,Mercer,Mineral,Mingo,Monongalia,Monroe,Morgan,Nicholas,Ohio,Pendleton,Pleasants,Pocahontas,Preston,Putnam,Raleigh,Randolph,Ritchie,Roane,Summers,Taylor,Tucker,Tyler,Upshur,Wayne,Webster,Wetzel,Wirt,Wood,Wyoming,Total
2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
3/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8.0
3/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12.0
3/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16.0
3/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16.0
3/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22.0
3/25/20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,0,0,0,0,2,0,0,2,0,0,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,39.0
3/26/20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,5,0,0,1,1,2,0,0,2,0,0,18,0,0,0,2,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,52.0
3/27/20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,15,0,0,1,2,3,1,0,2,0,0,24,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,2,0,1,0,0,0,0,2,0,76.0
3/28/20,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,6,4,17,0,0,1,3,3,3,0,2,0,0,23,0,0,0,6,0,1,0,1,3,3,0,0,0,0,0,2,0,1,0,0,0,0,2,0,96.0
3/29/20,0,10,0,0,0,0,0,0,0,0,0,0,2,0,3,0,5,7,4,19,0,0,1,5,4,3,0,2,0,0,29,0,0,0,6,0,1,0,1,3,3,0,0,0,0,0,2,0,1,0,0,0,0,2,0,113.0
3/30/20,0,14,0,0,0,1,0,0,0,0,0,0,3,0,3,0,10,8,6,23,0,0,2,5,4,3,0,2,0,0,31,0,1,0,9,0,1,0,2,4,3,1,0,2,0,0,2,0,1,0,0,1,1,2,0,145.0
3/31/20,0,16,0,0,0,1,0,0,0,0,0,0,3,0,3,1,11,9,8,31,0,0,2,5,4,3,0,2,0,0,31,0,1,0,10,0,1,0,3,4,3,1,0,2,0,0,2,0,1,0,0,1,1,2,0,162.0
4/1/20,1,21,0,0,0,1,0,0,0,0,0,0,3,0,6,1,14,11,9,37,0,0,3,8,4,3,0,2,0,0,32,0,1,0,11,0,1,0,3,5,3,1,0,2,0,0,2,0,1,0,0,2,1,2,0,191.0
4/2/20,1,27,0,0,0,3,0,0,0,0,0,0,3,0,5,2,17,11,12,39,0,0,4,10,4,3,0,3,0,0,35,0,1,0,10,0,1,0,3,5,3,2,0,2,0,0,3,0,1,0,0,2,1,3,0,216.0
4/3/20,1,37,0,0,0,5,0,0,0,0,0,0,3,0,5,2,17,11,12,40,0,0,4,11,4,3,0,3,2,0,35,0,1,0,11,1,1,0,4,5,3,2,0,2,0,0,3,0,1,0,0,2,1,5,0,237.0
4/4/20,2,49,0,0,0,5,0,0,0,0,0,0,3,0,6,2,19,13,17,48,0,0,5,13,4,4,0,3,2,0,40,0,1,0,11,1,1,0,5,5,4,3,0,2,0,0,3,0,1,0,0,2,1,7,0,282.0
4/5/20,2,54,0,0,0,5,0,0,0,0,0,0,3,0,6,2,24,14,21,51,0,0,5,14,5,4,0,3,2,0,49,0,3,0,18,1,1,0,5,6,4,3,0,2,0,0,3,0,1,0,0,2,1,10,0,324.0
4/6/20,2,54,0,0,0,7,0,0,0,0,0,0,3,0,6,2,25,16,22,56,1,0,6,17,5,4,0,4,2,0,53,0,3,0,15,1,1,0,4,8,4,3,0,2,0,1,3,0,1,0,0,2,1,11,0,345.0
4/7/20,3,57,0,0,1,11,0,0,0,1,0,0,3,0,7,2,25,19,31,61,1,0,7,25,5,6,2,5,3,0,60,0,4,2,19,1,1,0,6,10,4,3,0,2,0,3,3,1,1,0,0,2,1,13,1,412.0
4/8/20,4,66,1,1,1,12,0,0,0,1,0,0,3,1,7,2,29,19,38,69,1,0,8,30,5,6,3,6,3,0,68,0,4,2,18,1,1,0,6,10,4,3,0,2,0,3,3,1,1,0,0,3,1,14,1,462.0
4/9/20,5,82,1,1,2,17,0,0,0,1,0,0,3,2,7,2,29,20,45,73,1,0,8,31,5,7,4,7,3,0,76,0,4,2,20,1,1,0,6,10,5,3,0,2,0,3,3,1,2,0,0,3,1,14,1,514.0
4/10/20,4,89,1,1,3,21,0,0,0,3,0,0,3,3,7,2,28,23,46,82,2,0,8,32,6,7,4,8,3,0,78,1,5,2,21,1,1,0,6,10,5,3,0,2,0,3,3,3,3,17,0,3,2,18,1,574.0
4/11/20,4,89,1,1,3,21,0,0,0,2,0,0,3,4,7,2,28,23,46,82,2,0,8,32,6,7,4,8,4,0,78,1,6,2,21,1,1,0,6,10,5,4,0,2,0,3,3,3,3,17,0,3,2,18,1,577.0
4/12/20,4,92,1,1,3,22,0,0,0,2,0,0,3,4,7,2,28,23,49,83,2,0,8,32,6,8,5,8,4,0,81,1,6,2,21,1,1,0,6,11,5,4,0,2,1,3,4,3,3,17,0,3,2,18,1,593.0
4/13/20,4,92,1,1,3,23,0,0,0,2,0,1,3,4,7,2,28,27,49,86,2,0,8,34,6,8,5,8,4,1,83,1,6,2,25,1,1,0,6,11,5,4,0,2,1,3,4,3,3,17,0,3,2,18,1,611.0
4/14/20,4,100,1,1,3,26,0,0,0,2,0,1,3,5,7,2,28,30,52,85,2,0,8,38,6,10,6,8,5,1,81,1,6,2,23,1,1,0,6,12,6,4,0,2,1,4,4,3,3,19,0,3,2,21,1,640.0
4/15/20,4,99,1,1,3,28,0,0,0,2,0,1,3,7,7,2,28,33,54,88,2,1,8,41,7,9,6,8,6,1,83,1,6,3,22,1,1,0,6,13,6,4,0,2,1,4,4,3,3,61,0,3,2,22,1,702.0
4/16/20,4,102,2,1,3,28,0,0,0,2,0,1,3,7,7,3,29,34,57,91,2,1,8,41,7,10,6,8,6,1,83,1,7,3,22,1,1,0,6,13,6,4,0,2,1,4,4,3,3,69,0,3,2,25,1,728.0
4/17/20,4,106,2,1,3,28,0,0,0,4,0,1,3,6,7,3,28,40,60,104,2,1,8,42,8,10,6,8,8,2,83,2,8,3,22,2,1,0,6,14,7,4,0,2,1,5,4,3,4,74,0,3,2,29,1,775.0
4/18/20,4,106,2,1,3,29,0,0,0,4,0,1,3,6,7,3,28,43,60,106,2,1,8,42,8,10,6,8,8,2,84,2,8,3,23,2,1,0,7,14,7,4,0,2,1,5,4,3,4,75,0,3,2,29,1,785.0
4/19/20,4,109,2,1,3,34,0,0,0,5,0,1,3,6,7,3,30,100,60,127,2,1,8,42,8,11,6,8,8,2,87,5,8,4,22,2,1,0,10,14,7,4,0,3,1,5,4,3,4,78,0,3,2,31,1,890.0
4/20/20,4,111,2,1,3,34,0,0,0,5,0,1,3,6,7,3,30,101,61,128,2,1,8,44,8,11,6,8,8,2,90,5,9,4,22,2,2,0,10,14,7,4,0,3,1,5,4,3,4,78,0,3,2,31,1,902.0
4/21/20,4,113,2,1,3,34,0,0,0,5,0,1,3,6,7,3,30,101,61,133,2,1,8,44,8,11,6,8,8,2,89,5,9,4,22,2,2,0,10,14,7,4,0,3,1,5,4,3,4,78,0,3,2,31,1,908.0
4/22/20,4,121,2,1,3,35,0,0,0,5,0,1,3,7,7,3,30,103,65,138,2,1,9,43,8,10,6,9,10,2,90,5,7,4,23,1,2,0,12,16,7,4,0,5,1,5,4,3,4,79,0,3,2,33,1,939.0
4/23/20,4,127,2,1,3,38,0,0,0,8,0,1,3,7,7,3,30,112,67,142,3,1,11,44,8,11,6,9,11,2,89,5,7,5,24,1,2,0,12,19,8,4,0,4,1,5,4,3,4,81,0,3,3,35,1,981.0
4/24/20,4,129,2,1,3,38,0,0,0,9,0,1,3,7,7,3,30,116,70,147,3,1,11,44,9,11,6,9,12,2,97,5,9,6,25,3,2,0,12,16,9,4,0,3,1,5,4,3,4,81,0,3,3,36,1,1010.0
4/25/20,4,129,2,1,3,38,0,0,0,9,0,1,3,7,7,3,30,116,70,147,3,1,11,44,9,11,6,9,12,2,97,5,9,6,25,3,2,0,12,16,9,4,0,3,1,5,4,3,4,81,0,3,3,36,1,1010.0
4/26/20,4,131,2,2,4,40,0,0,0,9,2,1,3,7,8,3,30,127,71,153,3,1,12,45,11,11,6,9,15,2,101,5,9,6,26,3,2,0,13,18,9,4,0,4,1,6,4,3,4,82,0,3,3,36,1,1055.0
4/27/20,4,133,2,2,4,41,0,0,0,10,2,1,3,7,8,3,30,127,72,155,4,1,12,45,11,11,6,9,15,2,102,5,9,6,26,3,2,1,13,18,8,4,0,4,1,6,4,3,4,82,0,3,3,35,1,1063.0
4/28/20,4,141,2,2,3,41,0,0,0,12,2,1,3,7,8,4,30,129,77,157,4,1,12,45,11,12,6,9,15,2,103,5,9,6,26,3,2,2,13,22,8,4,0,4,1,6,4,3,4,84,0,3,3,39,1,1095.0
4/29/20,4,143,3,2,3,42,0,0,0,12,2,1,3,7,9,5,30,129,77,157,4,1,12,45,11,12,6,10,15,2,103,5,10,6,27,3,2,2,13,25,8,4,0,6,1,6,4,3,4,85,0,3,3,39,1,1110.0
4/30/20,5,145,3,2,3,42,0,0,0,13,2,1,3,7,10,5,30,130,79,160,4,2,13,45,12,12,6,10,17,2,102,5,11,6,27,3,2,2,13,25,8,4,0,6,1,6,4,3,4,85,0,3,3,38,1,1125.0
5/1/20,5,153,6,2,3,43,0,0,0,14,2,1,3,7,10,6,30,130,79,161,4,2,13,46,13,12,6,10,18,2,102,5,12,6,29,3,2,2,13,27,9,4,0,6,1,6,4,3,4,86,0,3,3,40,1,1152.0
5/2/20,5,156,6,2,3,44,0,0,0,14,2,1,5,7,11,7,30,130,79,168,4,2,13,46,15,12,6,10,18,2,105,5,13,6,33,3,2,2,13,27,10,4,0,7,1,7,4,3,4,90,0,3,3,41,1,1185.0
5/3/20,5,159,6,2,3,44,0,0,0,15,2,1,6,7,11,7,31,130,81,167,4,2,13,46,16,12,6,10,18,2,105,5,13,6,33,3,2,2,13,28,11,4,1,7,1,7,4,3,4,89,0,3,3,41,1,1195.0
5/4/20,5,166,6,2,3,44,0,0,0,16,3,3,7,8,11,9,31,135,82,168,4,2,13,46,19,12,6,11,18,2,107,5,13,6,33,3,2,2,13,29,10,4,1,6,1,7,4,3,5,90,0,3,3,41,1,1224.0
5/5/20,6,166,6,2,3,44,0,0,0,20,3,3,7,8,11,9,31,135,83,170,4,2,14,46,19,12,6,11,18,2,108,6,14,8,34,5,2,2,13,29,10,5,1,6,1,9,4,3,5,91,0,3,3,42,1,1246.0
5/6/20,6,166,6,2,3,44,0,0,0,20,3,3,7,8,11,9,31,134,83,170,4,2,14,46,19,12,6,11,18,2,108,6,14,8,34,5,2,2,13,27,9,5,1,6,1,9,4,3,5,91,0,3,3,42,1,1242.0
5/7/20,6,173,6,2,3,48,0,0,0,28,3,3,8,8,11,12,33,136,83,172,4,3,15,46,20,12,6,11,20,2,111,6,16,8,34,5,2,2,14,27,9,5,1,8,1,9,4,3,5,93,0,4,3,42,1,1287.0
5/8/20,7,184,8,2,3,48,0,2,0,30,4,3,8,8,12,15,33,136,87,180,4,4,13,46,20,13,6,11,20,2,111,6,16,8,35,5,2,2,14,27,9,5,1,8,1,8,4,3,5,93,0,4,3,43,1,1323.0
5/9/20,7,184,8,2,3,48,0,2,0,30,4,3,8,8,12,15,33,136,87,180,4,4,13,46,20,13,6,11,20,2,111,6,16,8,35,5,2,2,14,27,9,5,1,8,1,8,4,3,5,93,0,4,3,43,1,1323.0
5/10/20,7,188,9,2,3,52,0,2,0,35,8,3,8,9,12,16,33,136,88,183,4,5,13,46,22,13,6,11,23,2,114,6,16,8,37,5,2,2,14,27,9,5,1,8,1,8,4,3,5,93,0,6,3,43,1,1360.0
5/11/20,7,190,9,2,3,53,0,2,0,35,8,3,8,9,12,16,34,136,88,185,4,5,13,46,22,13,6,11,23,2,113,6,16,8,38,5,2,2,14,27,9,5,1,8,1,8,4,3,5,93,0,6,3,43,1,1366.0
