Date,Androscoggin,Aroostook,Cumberland,Franklin,Hancock,Kennebec,Knox,Lincoln,Oxford,Penobscot,Piscataquis,Sagadahoc,Somerset,Waldo,Washington,York,Total
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/12/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/13/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/14/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/15/20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
3/16/20,1,0,13,0,0,0,1,2,0,0,0,0,0,0,0,0,17.0
3/17/20,2,0,18,0,0,1,1,2,1,0,0,0,0,0,0,1,26.0
3/18/20,3,0,24,0,0,1,0,3,1,1,0,0,0,0,0,2,35.0
3/19/20,3,0,25,0,1,3,0,3,1,1,0,0,0,0,0,2,39.0
3/20/20,3,0,35,0,0,4,0,4,1,2,0,0,0,0,0,5,54.0
3/21/20,3,0,41,0,0,4,0,4,4,2,0,1,0,0,0,8,67.0
3/22/20,3,0,53,0,0,4,0,4,4,2,0,3,0,0,0,8,81.0
3/23/20,3,0,66,0,0,4,1,5,5,3,0,3,0,0,0,12,102.0
3/24/20,3,0,74,0,0,5,1,5,6,4,0,3,0,1,0,16,118.0
3/25/20,4,0,87,0,0,5,1,5,6,4,0,4,0,1,0,23,140.0
3/26/20,5,0,90,1,0,6,1,5,8,5,0,4,0,2,0,27,154.0
3/27/20,6,0,92,1,0,6,2,5,8,6,0,4,0,2,0,33,165.0
3/28/20,7,0,120,2,0,9,2,5,8,10,0,5,0,2,0,38,208.0
3/29/20,8,0,142,2,0,10,4,5,9,11,0,7,1,2,0,47,248.0
3/30/20,8,0,154,2,0,10,4,8,9,12,0,7,1,2,0,53,270.0
3/31/20,11,0,169,2,0,12,5,8,9,12,0,7,1,2,0,59,297.0
4/1/20,11,0,169,2,0,12,5,8,9,12,0,7,1,2,0,59,297.0
4/2/20,12,0,204,3,2,19,7,8,9,16,0,10,2,2,0,74,368.0
4/3/20,19,1,222,4,2,19,9,8,10,20,0,12,2,3,1,89,421.0
4/4/20,20,1,231,4,2,21,9,8,11,22,0,13,3,3,1,95,444.0
4/5/20,20,1,238,4,2,22,9,8,11,22,0,13,4,3,1,101,459.0
4/6/20,23,1,249,5,2,23,9,9,11,25,0,13,4,5,1,108,488.0
4/7/20,23,2,253,5,2,26,9,9,12,31,0,13,4,5,1,115,510.0
4/8/20,23,2,262,5,3,26,9,9,12,31,0,13,5,7,1,121,529.0
4/9/20,24,2,269,7,3,26,10,9,12,31,0,14,5,11,1,132,556.0
4/10/20,24,2,276,7,4,29,10,9,12,33,0,15,5,19,1,137,583.0
4/11/20,27,2,284,7,4,31,10,9,13,34,0,15,6,27,1,143,613.0
4/12/20,28,2,292,8,5,32,10,9,13,34,0,15,8,29,1,144,630.0
4/13/20,28,2,299,8,5,78,12,10,13,34,0,15,8,29,1,151,693.0
4/14/20,29,2,331,8,5,81,11,11,13,34,0,15,11,29,1,152,733.0
4/15/20,31,2,339,9,5,93,12,12,13,36,0,15,13,30,2,156,768.0
4/16/20,32,3,343,9,5,94,12,12,13,37,0,15,14,39,2,164,794.0
4/17/20,32,2,360,10,6,95,12,12,13,40,0,15,15,42,2,170,826.0
4/18/20,35,2,369,11,6,96,12,12,13,41,0,15,15,42,2,175,846.0
4/19/20,35,2,378,12,6,97,12,12,14,43,1,16,16,42,2,177,865.0
4/20/20,35,2,380,13,6,97,12,12,14,44,1,16,16,43,2,181,874.0
4/21/20,36,2,386,13,6,97,13,12,14,46,1,17,16,43,2,183,887.0
4/22/20,36,2,395,14,7,99,13,12,14,47,1,17,16,45,2,185,905.0
4/23/20,37,3,414,14,8,100,13,12,14,49,1,17,16,47,2,190,937.0
4/24/20,38,4,426,26,8,100,13,12,14,50,1,17,16,47,2,191,965.0
4/25/20,38,4,426,26,8,100,13,12,14,50,1,17,16,47,2,191,965.0
4/26/20,42,4,454,27,9,101,14,12,15,53,1,18,17,48,2,196,1013.0
4/27/20,42,4,459,27,9,102,14,12,15,55,1,18,17,48,2,196,1021.0
4/28/20,42,5,466,27,10,103,15,12,15,57,1,18,18,48,2,200,1039.0
4/29/20,43,5,472,27,10,104,16,12,15,59,1,19,18,48,2,203,1054.0
4/30/20,48,5,486,27,10,104,16,13,15,78,1,19,17,48,2,205,1094.0
5/1/20,52,5,504,28,10,104,16,14,15,79,1,19,17,49,2,208,1123.0
5/2/20,54,5,527,28,10,104,16,14,15,82,1,19,17,49,2,210,1153.0
5/3/20,56,5,549,29,10,105,16,13,15,84,1,19,17,49,2,215,1185.0
5/4/20,60,5,558,29,10,105,16,13,15,85,1,19,17,49,2,219,1203.0
5/5/20,62,6,571,29,10,105,16,13,15,85,1,19,17,49,2,226,1226.0
5/6/20,67,6,583,29,10,106,17,14,16,87,1,20,17,49,2,230,1254.0
5/7/20,74,6,631,31,10,107,17,14,17,89,1,20,17,49,2,243,1328.0
5/8/20,78,6,658,31,10,108,18,15,17,89,1,20,17,49,2,249,1368.0
5/9/20,82,6,685,31,10,109,18,15,17,89,1,20,17,49,2,256,1407.0
5/10/20,84,6,702,31,10,109,18,15,17,90,1,21,17,49,2,261,1433.0
5/11/20,92,6,714,31,10,110,19,15,17,90,1,21,17,49,2,262,1456.0
5/12/20,97,6,721,31,10,111,19,15,17,90,1,21,17,49,2,264,1471.0
5/13/20,103,6,744,31,10,112,19,15,17,90,1,23,18,49,2,269,1509.0
5/14/20,109,7,778,31,10,113,19,15,17,91,1,25,18,50,2,277,1563.0
5/15/20,113,7,798,33,10,116,21,16,17,91,1,26,19,50,2,281,1601.0
5/16/20,120,7,821,33,10,120,21,17,17,93,1,26,20,50,2,288,1646.0
5/17/20,131,7,837,33,11,121,20,17,17,93,1,27,20,50,5,295,1685.0
5/18/20,139,7,852,33,11,121,20,17,17,93,1,27,20,50,2,302,1712.0
5/19/20,151,7,863,33,11,120,20,17,17,94,1,27,20,50,2,307,1740.0
5/20/20,185,8,891,34,11,121,20,17,18,95,1,28,20,50,2,316,1817.0
5/21/20,202,8,919,35,11,123,20,18,18,98,1,28,20,51,2,320,1874.0
5/22/20,209,8,968,36,11,124,20,18,19,98,1,28,21,51,2,331,1945.0
5/23/20,227,8,1009,36,11,126,20,19,19,98,1,28,21,51,2,337,2013.0
5/24/20,233,8,1032,36,11,128,20,20,21,98,1,28,21,51,2,344,2054.0
5/25/20,238,8,1040,36,11,128,20,20,21,99,1,28,21,51,2,350,2074.0
5/26/20,247,8,1056,36,11,128,20,20,22,99,1,28,21,51,2,359,2109.0
5/27/20,252,8,1065,36,11,128,20,20,26,99,1,29,21,51,2,365,2134.0
5/28/20,264,8,1092,36,11,128,20,20,29,100,1,30,22,51,2,370,2184.0
5/29/20,269,10,1117,36,11,128,20,20,32,100,1,30,22,51,2,373,2222.0
5/30/20,287,10,1146,36,11,128,20,20,33,100,1,30,22,51,2,381,2278.0
5/31/20,298,10,1175,36,11,128,20,20,34,100,1,30,22,51,2,385,2323.0
6/1/20,304,10,1189,36,11,128,20,20,33,100,1,30,22,51,2,391,2348.0
6/2/20,314,10,1203,36,11,127,20,20,33,100,1,31,22,51,1,396,2376.0
6/3/20,326,10,1226,36,11,127,21,20,33,100,1,31,22,51,1,398,2414.0
6/4/20,334,10,1244,36,11,128,21,20,32,100,1,30,22,51,1,401,2442.0
6/5/20,338,10,1265,36,12,129,21,20,32,101,1,30,22,52,1,408,2478.0
6/6/20,346,10,1290,36,12,130,21,20,32,101,1,30,22,52,1,420,2524.0
6/7/20,367,10,1307,36,12,130,21,20,31,101,1,30,22,52,1,427,2568.0
6/8/20,376,10,1311,36,12,131,21,20,31,101,1,30,24,53,1,428,2586.0
6/9/20,381,10,1324,36,12,131,21,20,31,101,1,30,24,53,1,428,2604.0
6/10/20,390,10,1339,36,12,132,21,20,31,101,1,30,25,54,1,432,2635.0
6/11/20,397,10,1361,36,12,133,21,20,31,101,1,30,25,55,1,431,2665.0
6/12/20,415,10,1388,37,13,134,21,21,31,102,1,30,25,55,1,433,2717.0
6/13/20,419,10,1414,37,13,136,22,21,31,102,1,30,25,55,1,438,2755.0
6/14/20,425,10,1434,37,13,136,22,21,33,102,1,30,25,55,1,446,2791.0
6/15/20,429,10,1445,37,13,136,23,21,34,102,1,30,25,55,1,446,2808.0
6/16/20,428,10,1450,37,13,137,23,21,34,101,1,30,25,55,1,450,2816.0
6/17/20,434,10,1461,37,13,138,23,21,34,101,1,30,26,55,1,450,2835.0
6/18/20,441,11,1493,37,13,138,23,21,33,101,1,30,26,55,2,451,2876.0
6/19/20,445,11,1516,38,13,138,23,21,34,102,1,30,26,55,2,457,2912.0
6/20/20,448,11,1534,38,14,137,24,21,34,102,2,30,26,55,2,458,2936.0
6/21/20,452,17,1540,38,14,138,24,21,34,102,2,30,26,55,2,461,2956.0
6/22/20,453,19,1542,38,15,138,24,21,34,103,2,31,26,55,2,466,2969.0
6/23/20,454,21,1554,38,15,141,24,21,34,104,2,31,26,55,2,472,2994.0
6/24/20,454,22,1566,38,15,140,24,21,35,104,2,32,26,55,2,479,3015.0
6/25/20,460,21,1608,38,15,142,24,21,35,105,2,32,26,55,2,482,3068.0
6/26/20,464,21,1627,38,16,143,24,22,35,104,2,32,27,55,2,484,3096.0
6/27/20,469,23,1656,39,16,143,24,23,35,105,3,34,27,55,2,497,3151.0
6/28/20,476,23,1682,39,16,143,24,23,35,105,3,34,27,55,2,499,3186.0
6/29/20,476,22,1697,41,16,146,24,23,37,106,3,34,28,55,2,504,3214.0
6/30/20,483,23,1715,41,16,146,24,23,37,106,3,34,28,55,2,515,3251.0
7/1/20,484,24,1733,41,16,147,25,24,37,108,3,34,28,56,3,529,3292.0
7/2/20,488,24,1756,40,16,147,24,24,38,108,3,34,28,56,3,533,3322.0
7/3/20,490,24,1780,40,16,147,25,24,40,112,3,34,29,56,3,545,3368.0
7/4/20,494,24,1793,40,17,146,25,24,42,114,3,34,30,56,3,549,3394.0
7/5/20,496,24,1805,40,17,145,25,25,42,116,4,34,30,56,3,550,3412.0
7/6/20,496,24,1810,40,18,145,25,25,42,118,4,34,30,58,3,549,3421.0
7/7/20,496,24,1818,40,18,145,25,25,42,117,4,34,30,58,4,555,3435.0
7/8/20,499,24,1829,40,18,147,25,25,43,119,4,34,30,58,5,558,3458.0
7/9/20,502,24,1844,41,18,147,25,26,44,122,5,34,31,58,5,557,3483.0
7/10/20,503,24,1851,41,18,145,25,26,44,122,5,34,31,59,5,563,3496.0
7/11/20,501,24,1861,42,18,146,25,26,44,122,5,35,31,59,5,570,3514.0
7/12/20,501,24,1872,42,18,146,25,26,45,124,5,34,31,59,5,572,3529.0
7/13/20,502,24,1890,42,18,146,25,26,46,124,5,34,31,59,5,578,3555.0
7/14/20,502,25,1897,41,18,147,25,26,46,124,5,34,31,59,4,580,3564.0
7/15/20,506,24,1901,41,18,147,25,26,48,125,4,34,31,60,5,580,3575.0
7/16/20,507,25,1911,41,19,147,25,27,48,126,4,34,31,60,5,584,3594.0
7/17/20,509,26,1934,42,19,148,25,29,49,129,4,34,32,60,5,588,3633.0
7/18/20,509,27,1938,42,19,147,25,29,49,131,4,34,32,60,5,590,3641.0
7/19/20,511,27,1950,43,19,147,25,30,48,131,4,34,32,60,6,594,3661.0
7/20/20,512,28,1959,44,19,149,25,31,49,134,4,35,33,60,6,599,3687.0
7/21/20,513,30,1963,44,19,150,25,31,49,136,4,36,33,60,6,601,3700.0
7/22/20,513,30,1974,45,21,153,25,31,48,136,4,39,32,60,6,602,3719.0
7/23/20,515,32,1986,45,19,154,25,31,48,136,3,38,32,60,6,604,3734.0
7/24/20,527,31,1990,45,19,154,25,31,48,136,3,39,33,60,5,609,3755.0
7/25/20,532,31,2004,45,19,157,25,33,48,139,3,40,34,60,5,614,3789.0
7/26/20,534,31,2011,46,19,158,25,33,49,139,3,43,34,60,7,621,3813.0
7/27/20,543,31,2016,45,19,159,25,33,49,139,3,43,34,60,7,625,3831.0
7/28/20,544,31,2016,45,18,159,25,33,49,140,3,43,34,60,7,630,3837.0
7/29/20,545,31,2029,45,23,160,25,33,51,141,3,43,34,62,7,633,3865.0
7/30/20,547,32,2032,45,27,162,25,33,51,141,3,45,34,62,7,641,3887.0
7/31/20,548,32,2039,45,27,164,26,33,54,145,3,46,34,62,7,645,3910.0
8/1/20,550,32,2047,45,27,167,26,34,54,146,3,50,34,62,8,650,3935.0
8/2/20,550,32,2052,45,34,167,26,34,55,148,3,50,34,62,9,655,3956.0
8/3/20,548,32,2058,45,34,169,26,34,55,150,3,51,34,62,9,658,3968.0
8/4/20,548,32,2061,45,34,169,26,34,54,150,3,51,34,62,12,660,3975.0
8/5/20,549,32,2066,45,36,169,27,33,54,150,3,54,34,62,12,666,3992.0
8/6/20,548,33,2070,45,35,169,27,34,54,152,3,54,33,62,12,666,3997.0
8/7/20,558,33,2075,45,35,170,27,34,53,152,3,54,33,62,12,668,4014.0
8/8/20,558,33,2082,45,35,170,28,35,53,152,3,55,33,62,12,670,4026.0
8/9/20,563,33,2088,45,35,170,27,35,53,152,4,56,33,62,13,673,4042.0
8/10/20,565,33,2089,45,36,172,27,35,54,150,4,56,33,62,13,675,4049.0
8/11/20,565,33,2090,45,36,171,27,35,55,151,4,55,33,62,13,675,4050.0
8/12/20,568,33,2097,45,37,171,27,35,55,153,4,56,33,62,13,680,4069.0
8/13/20,570,33,2103,45,40,171,27,35,55,156,6,57,35,62,13,680,4088.0
8/14/20,575,33,2113,47,40,171,27,35,56,162,6,58,35,62,14,681,4115.0
8/15/20,575,33,2122,47,40,171,27,35,57,170,11,58,36,62,14,684,4142.0
8/16/20,577,33,2126,47,40,172,28,35,58,178,11,58,37,63,14,689,4166.0
8/17/20,580,33,2130,47,40,172,28,35,59,191,12,58,40,63,15,693,4196.0
8/18/20,581,33,2143,47,40,172,28,35,59,192,12,58,40,63,15,694,4212.0
8/19/20,581,33,2145,47,42,172,28,35,60,200,7,58,41,64,15,706,4234.0
8/20/20,582,35,2148,47,42,175,28,35,59,202,7,58,42,64,15,713,4252.0
8/21/20,586,37,2154,47,44,176,28,35,59,207,7,58,42,66,15,724,4285.0
8/22/20,590,37,2158,47,45,179,28,35,59,212,7,59,42,67,15,737,4317.0
8/23/20,591,37,2160,48,46,179,28,35,59,215,7,59,46,69,15,741,4335.0
8/24/20,594,37,2161,48,46,181,29,35,59,220,7,59,46,69,15,750,4356.0
8/25/20,594,37,2166,48,46,182,29,35,59,220,7,59,46,69,15,756,4368.0
8/26/20,596,38,2167,48,46,183,29,35,59,221,8,59,47,69,15,768,4388.0
8/27/20,600,38,2171,50,46,184,29,35,59,223,8,60,50,69,15,776,4413.0
8/28/20,602,38,2177,50,45,185,29,35,59,225,8,60,50,69,15,786,4433.0
8/29/20,610,38,2183,50,45,187,29,35,60,228,8,60,50,69,15,822,4489.0
8/30/20,612,38,2187,53,45,188,29,36,61,229,8,60,51,69,15,830,4511.0
8/31/20,613,38,2191,53,45,190,29,36,64,229,8,61,51,69,15,834,4526.0
9/1/20,615,38,2196,52,47,192,29,36,65,230,8,61,54,69,15,841,4548.0
9/2/20,616,38,2196,53,47,191,30,37,67,234,8,61,54,69,15,851,4567.0
9/3/20,620,38,2206,53,50,193,31,36,70,241,8,61,58,70,15,867,4617.0
9/4/20,620,38,2212,53,50,193,33,36,71,240,8,61,61,70,15,871,4632.0
9/5/20,620,38,2212,53,50,193,33,36,71,240,8,61,61,70,15,871,4632.0
9/6/20,623,39,2218,53,50,196,33,36,74,247,8,62,62,71,15,895,4682.0
9/7/20,624,40,2221,53,50,197,34,36,74,248,8,62,62,72,15,905,4701.0
9/8/20,625,40,2223,53,51,197,34,36,75,249,8,62,63,72,15,911,4714.0
9/9/20,625,40,2223,53,51,197,33,36,75,249,8,62,63,72,15,911,4713.0
9/10/20,631,40,2226,53,51,199,33,36,75,250,8,62,69,72,15,939,4759.0
9/11/20,635,40,2231,53,52,199,33,36,80,251,8,62,69,73,15,954,4791.0
9/12/20,634,40,2241,54,52,199,33,36,82,250,8,62,74,73,15,976,4829.0
9/13/20,641,40,2251,54,52,200,33,38,83,251,8,62,74,73,15,987,4862.0
9/14/20,652,41,2256,54,53,200,33,39,84,251,8,62,85,73,15,997,4903.0
9/15/20,653,42,2257,53,53,200,33,39,89,251,8,62,85,73,15,1005,4918.0
9/16/20,656,42,2261,53,53,200,33,39,92,252,8,62,85,73,15,1017,4941.0
