Date,Beaver,Box Elder,Cache,Carbon,Daggett,Davis,Duchesne,Emery,Garfield,Grand,Iron,Juab,Kane,Millard,Morgan,Piute,Rich,Salt Lake,San Juan,Sanpete,Sevier,Summit,Tooele,Uintah,Utah,Wasatch,Washington,Wayne,Weber,Total
2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/7/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/8/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/9/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/10/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3/11/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
3/12/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
3/13/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,6.0
3/14/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,7.0
3/15/20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,18.0
3/16/20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,1,0,0,1,0,0,0,26.0
3/17/20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,1,0,0,2,0,0,0,35.0
3/18/20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,15,1,0,1,2,0,0,0,47.0
3/19/20,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,19,1,0,2,3,0,0,0,62.0
3/20/20,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,28,2,0,2,4,0,0,0,94.0
3/21/20,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,32,2,0,3,7,0,0,0,117.0
3/22/20,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,43,3,0,6,8,0,0,0,161.0
3/23/20,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,65,2,0,11,11,5,0,0,235.0
3/24/20,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,82,2,0,13,15,5,0,0,275.0
3/25/20,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,89,3,0,18,15,5,0,0,316.0
3/26/20,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,95,4,0,24,20,8,0,0,368.0
3/27/20,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,102,5,0,26,28,9,0,0,438.0
3/28/20,0,0,5,0,0,59,0,0,0,0,0,0,0,0,0,0,0,276,1,0,0,127,8,0,30,36,13,0,0,555.0
3/29/20,1,0,5,0,0,69,0,0,1,4,2,0,0,0,0,0,0,321,4,0,0,151,9,0,50,39,8,0,0,664.0
3/30/20,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,360,4,0,0,167,9,0,57,44,15,0,0,733.0
3/31/20,0,0,7,0,0,84,0,0,1,1,6,0,0,0,0,0,0,396,4,0,0,172,12,1,70,50,14,0,0,818.0
4/1/20,0,0,7,0,0,84,0,0,1,1,6,0,0,0,0,0,0,396,4,0,0,172,12,1,70,50,14,0,0,818.0
4/2/20,0,0,7,0,0,103,1,0,1,1,7,0,1,0,0,0,0,476,5,0,0,204,13,1,105,61,18,0,0,1004.0
4/3/20,0,0,15,1,0,122,1,1,1,1,10,0,1,0,0,0,0,541,5,0,0,222,16,1,150,69,23,0,0,1180.0
4/4/20,0,0,16,1,0,137,1,1,1,1,12,0,1,0,0,0,0,650,5,0,0,230,17,1,186,70,25,0,0,1355.0
4/5/20,0,0,19,1,0,142,1,1,1,1,12,0,1,0,0,0,0,741,5,0,0,256,19,1,216,78,27,0,0,1522.0
4/6/20,0,0,22,1,0,154,1,2,1,1,13,0,2,0,0,0,0,777,5,0,0,260,22,2,223,79,31,0,0,1596.0
4/7/20,0,0,24,1,0,158,1,2,1,1,13,0,2,0,0,0,0,807,5,0,0,265,22,2,236,80,31,0,0,1651.0
4/8/20,0,0,28,2,0,163,2,2,1,1,13,0,2,0,0,0,0,858,6,0,0,273,23,4,267,82,31,0,0,1758.0
4/9/20,0,0,29,2,0,170,2,2,1,1,13,0,2,0,0,0,0,858,6,0,0,273,23,4,267,82,32,0,0,1767.0
4/10/20,0,0,30,2,0,180,3,2,1,1,13,0,3,0,0,0,0,1011,6,0,0,296,28,5,283,96,41,0,0,2001.0
4/11/20,0,0,34,2,0,193,3,2,1,1,13,0,3,0,0,0,0,1071,8,0,0,300,31,6,295,98,41,0,0,2102.0
4/12/20,0,0,33,2,0,199,3,2,1,1,13,0,3,0,0,0,0,1126,8,0,0,304,31,6,313,103,42,0,0,2190.0
4/13/20,0,0,36,2,0,204,3,2,1,1,15,0,3,0,0,0,0,1157,9,0,0,306,34,6,322,103,43,0,0,2247.0
4/14/20,0,0,36,2,0,211,3,3,1,1,15,0,3,0,0,0,0,1187,9,0,0,306,34,6,335,102,45,0,0,2299.0
4/15/20,0,0,37,2,0,217,3,3,1,1,15,0,3,0,0,0,0,1285,9,0,0,306,37,6,352,102,47,0,0,2426.0
4/16/20,0,0,37,2,0,220,3,3,1,1,15,0,3,0,0,0,0,1377,9,0,0,308,38,6,387,103,47,0,0,2560.0
4/17/20,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,1456,17,0,0,311,38,0,403,103,74,0,0,2629.0
4/18/20,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,1547,18,0,0,316,39,0,417,109,77,0,0,2753.0
4/19/20,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,1615,22,0,0,318,42,0,455,111,0,0,0,2799.0
4/20/20,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,1671,29,0,0,331,41,0,498,118,0,0,0,2930.0
4/21/20,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,1714,34,0,0,335,41,0,523,122,0,0,0,3012.0
4/22/20,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,1795,34,0,0,341,42,0,570,123,0,0,0,3154.0
4/23/20,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,1889,37,0,0,343,46,0,611,127,0,0,0,3307.0
4/24/20,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,1975,37,0,0,351,47,0,669,129,0,0,0,3464.0
4/25/20,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,2051,40,0,0,355,52,0,725,132,0,0,0,3623.0
4/26/20,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,2144,43,0,0,357,54,0,777,138,0,0,0,3788.0
4/27/20,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,2190,45,0,0,358,56,0,828,140,0,0,0,3893.0
4/28/20,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,2256,45,0,0,359,58,0,862,142,0,0,0,4000.0
4/29/20,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,2348,45,0,0,361,63,0,899,147,0,0,0,4146.0
4/30/20,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,2438,46,0,0,369,65,0,957,148,0,0,0,4308.0
5/1/20,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,2526,47,0,0,373,68,0,993,155,0,0,0,4455.0
5/2/20,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,2609,78,0,0,375,69,0,1021,156,0,0,0,4604.0
5/3/20,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,2707,100,0,0,376,71,0,1073,159,0,0,0,4786.0
5/4/20,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,2769,116,0,0,377,71,0,1122,165,0,0,0,4919.0
5/5/20,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,2832,119,0,0,382,70,0,1171,166,0,0,0,5042.0
5/6/20,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,2912,126,0,0,382,70,0,1210,170,0,0,0,5178.0
5/7/20,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,3010,132,0,0,382,71,0,1219,173,0,0,0,5302.0
5/8/20,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,3104,135,0,0,384,72,0,1288,173,0,0,0,5477.0
5/9/20,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,3206,145,0,0,385,76,0,1318,176,0,0,0,5633.0
5/10/20,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,3291,147,0,0,385,77,0,1346,176,0,0,0,5758.0
5/11/20,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,3365,149,0,0,386,77,0,1358,183,0,0,0,5856.0
5/12/20,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,3414,152,0,0,388,78,0,1365,184,0,0,0,5921.0
5/13/20,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,3530,152,0,0,392,85,0,1400,185,0,0,0,6088.0
5/14/20,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,3604,154,0,0,393,84,0,1435,188,0,0,0,6207.0
5/15/20,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,3709,159,0,0,396,86,0,1455,196,0,0,0,6355.0
5/16/20,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,3785,177,0,0,400,93,0,1471,200,0,0,0,6489.0
5/17/20,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,3883,198,0,0,401,93,0,1497,202,0,0,0,6642.0
5/18/20,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,3942,227,0,0,401,94,0,1520,203,0,0,0,6757.0
5/19/20,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,4019,238,0,0,403,103,0,1537,212,0,0,0,6885.0
5/20/20,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,4123,246,0,0,403,104,0,1569,217,0,0,0,7048.0
5/21/20,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,4217,251,0,0,404,104,0,1592,222,0,0,0,7186.0
5/22/20,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,4308,254,0,0,403,108,0,1651,228,0,0,0,7353.0
5/23/20,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,4441,259,0,0,403,112,0,1678,237,0,0,0,7537.0
5/24/20,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,4515,264,0,0,405,113,0,1704,241,0,0,0,7652.0
5/25/20,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,4583,268,0,0,405,113,0,1722,247,0,0,0,7752.0
5/26/20,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,4632,272,0,0,405,114,0,1744,253,0,0,0,7839.0
5/27/20,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,4682,272,0,0,407,115,0,1753,258,0,0,0,7911.0
5/28/20,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,4806,283,0,0,409,122,0,1777,259,0,0,0,8091.0
5/29/20,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,4994,286,0,0,412,125,0,1826,265,0,0,0,8355.0
5/30/20,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,5118,289,0,0,412,126,0,1870,272,0,0,0,8545.0
5/31/20,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,5242,297,0,0,415,128,0,1929,282,0,0,0,8758.0
6/1/20,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,5340,299,0,0,416,129,0,1965,292,0,0,0,8913.0
6/2/20,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,5449,308,0,0,417,132,0,1991,294,0,0,0,9067.0
6/3/20,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,5603,309,0,0,418,136,0,2028,305,0,0,0,9293.0
6/4/20,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,5756,312,0,0,419,140,0,2088,313,0,0,0,9541.0
6/5/20,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,5901,314,0,0,422,144,0,2143,317,0,0,0,9766.0
6/6/20,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,6086,333,0,0,426,145,0,2183,326,0,0,0,10040.0
6/7/20,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,6182,333,0,0,434,148,0,2261,330,0,0,0,10237.0
6/8/20,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,6296,333,0,0,437,150,0,2310,332,0,0,0,10422.0
6/9/20,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,6421,337,0,0,440,153,0,2337,335,0,0,0,10603.0
6/10/20,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,6591,339,0,0,443,153,0,2376,337,0,0,0,10832.0
6/11/20,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,6776,343,0,0,442,158,0,2444,341,0,0,0,11124.0
6/12/20,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,6942,350,0,0,444,159,0,2491,342,0,0,0,11356.0
6/13/20,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,7148,351,0,0,446,162,0,2551,343,0,0,0,11647.0
6/14/20,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,7309,357,0,0,449,165,0,2607,349,0,0,0,11896.0
6/15/20,0,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,7468,363,0,0,447,170,0,2654,351,0,0,0,12125.0
6/16/20,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,7616,365,0,0,448,178,0,2711,356,0,0,0,12365.0
6/17/20,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,7809,367,0,0,451,181,0,2776,362,0,0,0,12661.0
6/18/20,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,8083,374,0,0,453,184,0,2861,368,0,0,0,13062.0
6/19/20,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,8363,380,0,0,455,188,0,2957,371,0,0,0,13489.0
6/20/20,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,8687,382,0,0,460,195,0,3056,380,0,0,0,13982.0
6/21/20,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,8878,383,0,0,463,199,0,3136,380,0,0,0,14295.0
6/22/20,0,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,9052,386,0,0,466,202,0,3263,384,0,0,0,14630.0
6/23/20,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,9207,388,0,0,470,208,0,3355,387,0,0,0,14920.0
6/24/20,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,9460,389,0,0,474,208,0,3447,389,0,0,0,15305.0
6/25/20,0,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,9763,391,0,0,477,212,0,3541,392,0,0,0,15765.0
6/26/20,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,10102,395,0,0,480,222,0,3675,394,0,0,0,16304.0
6/27/20,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,10417,399,0,0,482,225,0,3751,399,0,0,0,16753.0
6/28/20,0,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,10629,399,0,0,483,229,0,3850,400,0,0,0,17103.0
6/29/20,0,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,10887,400,0,0,485,234,0,3965,406,0,0,0,17532.0
6/30/20,0,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,11166,399,0,0,488,244,0,4084,408,0,0,0,17968.0
7/1/20,0,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,11437,402,0,0,493,247,0,4154,410,0,0,0,18361.0
7/2/20,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,11728,404,0,0,498,256,0,4249,414,0,0,0,18817.0
7/3/20,0,0,0,0,0,1322,0,0,0,0,0,0,0,0,0,0,0,12050,403,0,0,508,255,0,4340,418,0,0,0,19296.0
7/4/20,0,0,0,0,0,1379,0,0,0,0,0,0,0,0,0,0,0,12343,413,0,0,515,265,0,4474,419,0,0,0,19808.0
7/5/20,0,0,0,0,0,1422,0,0,0,0,0,0,0,0,0,0,0,12540,414,0,0,519,269,0,4553,422,0,0,0,20139.0
7/6/20,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,12758,416,0,0,534,275,0,4648,426,0,0,0,20527.0
7/7/20,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,12994,417,0,0,538,294,0,4761,427,0,0,0,20953.0
7/8/20,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,13343,425,0,0,543,304,0,4894,436,0,0,0,21520.0
7/9/20,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,13646,441,0,0,553,315,0,4988,442,0,0,0,22029.0
7/10/20,0,0,0,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,14066,451,0,0,560,327,0,5143,448,0,0,0,22718.0
7/11/20,0,0,0,0,0,1794,0,0,0,0,0,0,0,0,0,0,0,14336,465,0,0,574,334,0,5271,452,0,0,0,23226.0
7/12/20,0,0,0,0,0,1846,0,0,0,0,0,0,0,0,0,0,0,14609,477,0,0,584,346,0,5369,456,0,0,0,23687.0
7/13/20,0,0,0,0,0,1909,0,0,0,0,0,0,0,0,0,0,0,14869,481,0,0,591,358,0,5491,462,0,0,0,24161.0
7/14/20,0,0,0,0,0,1976,0,0,0,0,0,0,0,0,0,0,0,15083,481,0,0,596,364,0,5560,464,0,0,0,24524.0
7/15/20,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,15306,489,0,0,597,370,0,5637,465,0,0,0,24880.0
7/16/20,0,0,0,0,0,2113,0,0,0,0,0,0,0,0,0,0,0,15655,494,0,0,605,387,0,5794,472,0,0,0,25520.0
7/17/20,0,0,0,0,0,2183,0,0,0,0,0,0,0,0,0,0,0,15887,500,0,0,612,413,0,5950,476,0,0,0,26021.0
7/18/20,0,0,0,0,0,2249,0,0,0,0,0,0,0,0,0,0,0,16176,511,0,0,620,417,0,6148,481,0,0,0,26602.0
7/19/20,0,0,0,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,16523,533,0,0,635,434,0,6287,489,0,0,0,27226.0
7/20/20,0,0,0,0,0,2360,0,0,0,0,0,0,0,0,0,0,0,16693,536,0,0,637,441,0,6380,491,0,0,0,27538.0
7/21/20,0,0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,16871,545,0,0,643,443,0,6516,495,0,0,0,27928.0
7/22/20,0,0,0,0,0,2468,0,0,0,0,0,0,0,0,0,0,0,17123,550,0,0,645,448,0,6659,497,0,0,0,28390.0
7/23/20,0,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,17353,553,0,0,651,463,0,6753,498,0,0,0,28791.0
7/24/20,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,0,0,17686,566,0,0,658,472,0,6938,508,0,0,0,29444.0
7/25/20,0,0,0,0,0,2660,0,0,0,0,0,0,0,0,0,0,0,17966,582,0,0,663,481,0,7098,512,0,0,0,29962.0
7/26/20,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,0,18090,582,0,0,669,487,0,7194,515,0,0,0,30232.0
7/27/20,0,0,0,0,0,2743,0,0,0,0,0,0,0,0,0,0,0,18280,590,0,0,673,498,0,7296,515,0,0,0,30595.0
7/28/20,0,0,0,0,0,2784,0,0,0,0,0,0,0,0,0,0,0,18441,591,0,0,673,511,0,7422,519,0,0,0,30941.0
7/29/20,0,0,0,0,0,2819,0,0,0,0,0,0,0,0,0,0,0,18575,596,0,0,679,518,0,7483,522,0,0,0,31192.0
7/30/20,0,0,0,0,0,2859,0,0,0,0,0,0,0,0,0,0,0,18817,606,0,0,683,524,0,7584,523,0,0,0,31596.0
7/31/20,0,0,0,0,0,2909,0,0,0,0,0,0,0,0,0,0,0,19036,613,0,0,687,527,0,7688,525,0,0,0,31985.0
8/1/20,0,0,0,0,0,2953,0,0,0,0,0,0,0,0,0,0,0,19237,622,0,0,689,532,0,7808,525,0,0,0,32366.0
8/2/20,0,0,0,0,0,3008,0,0,0,0,0,0,0,0,0,0,0,19408,623,0,0,695,537,0,7949,531,0,0,0,32751.0
8/3/20,0,0,0,0,0,3026,0,0,0,0,0,0,0,0,0,0,0,19556,628,0,0,697,547,0,8047,533,0,0,0,33034.0
8/4/20,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,0,0,0,19683,630,0,0,698,557,0,8165,536,0,0,0,33328.0
