Date,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill,Total
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3.0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3.0
3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3.0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3.0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3.0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6.0
3/8/20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,14.0
3/9/20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,14.0
3/10/20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,14.0
3/11/20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,8,0,0,19.0
3/12/20,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,2,0,1,1,0,0,2,0,0,0,10,0,0,24.0
3/13/20,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,8,0,2,0,1,1,0,0,2,0,0,0,10,0,0,30.0
3/14/20,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,9,0,2,0,1,1,0,0,2,0,0,0,13,0,0,36.0
3/15/20,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,9,0,2,0,1,1,0,0,2,0,0,0,13,0,0,36.0
3/16/20,0,0,1,0,0,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,0,10,0,2,0,1,1,0,0,2,0,0,0,13,0,1,39.0
3/17/20,0,2,6,0,0,0,0,0,6,1,0,0,0,0,2,0,0,1,0,0,0,15,0,4,0,3,2,0,0,2,0,0,0,21,0,1,66.0
3/18/20,0,3,6,0,0,0,0,0,6,1,0,0,0,0,2,0,0,1,0,2,0,15,0,8,0,3,1,0,0,2,0,0,0,23,0,2,75.0
3/19/20,0,3,6,0,0,0,0,0,6,1,0,0,0,0,2,0,0,1,0,2,0,17,0,13,0,7,1,0,0,2,0,0,0,25,0,2,88.0
3/20/20,0,3,10,0,0,0,0,0,8,1,0,1,0,0,2,0,0,1,0,2,0,18,0,17,0,12,1,0,0,2,1,0,0,31,0,4,114.0
3/21/20,0,2,11,0,0,0,0,0,9,1,0,1,0,0,2,0,1,1,0,3,0,19,0,19,0,18,1,0,0,2,1,0,0,42,0,4,137.0
3/22/20,0,4,12,0,0,0,0,0,10,1,0,1,0,0,2,0,1,1,0,4,0,19,0,22,0,19,1,0,0,2,1,0,0,55,0,6,161.0
3/23/20,0,4,14,0,0,0,0,0,10,1,0,1,0,1,2,0,1,1,0,4,0,20,0,30,0,21,3,0,0,2,1,0,0,69,0,6,191.0
3/24/20,0,4,17,1,0,0,0,0,10,1,0,1,0,1,3,0,1,1,0,4,0,21,0,32,0,25,3,0,0,2,1,0,0,76,0,6,210.0
3/25/20,0,6,21,1,0,0,0,0,10,3,0,1,0,1,4,0,2,1,0,5,1,25,0,43,0,33,3,0,0,2,1,0,0,96,0,7,266.0
3/26/20,0,6,21,2,0,0,0,0,15,3,0,1,0,1,4,0,4,1,0,7,1,26,0,57,0,45,6,0,1,2,1,0,1,104,0,7,316.0
3/27/20,0,6,31,2,1,0,0,0,18,4,0,1,0,1,6,0,4,2,0,10,1,28,0,83,1,67,10,0,1,3,1,0,2,122,0,11,416.0
3/28/20,0,8,36,3,1,0,0,0,20,4,0,1,0,1,8,0,5,2,0,9,1,32,0,94,1,81,11,0,1,4,1,0,2,140,0,13,479.0
3/29/20,0,8,39,3,1,0,0,0,23,4,0,1,0,2,19,0,6,4,0,10,1,36,0,109,1,91,13,0,2,4,1,0,3,154,0,13,548.0
3/30/20,0,9,40,3,1,0,0,0,25,8,0,1,0,2,20,0,10,4,0,12,1,36,0,123,1,100,15,0,3,4,1,0,5,168,0,14,606.0
3/31/20,0,12,50,3,1,0,0,0,24,9,0,1,0,3,21,0,10,5,0,16,2,37,1,141,1,116,18,0,3,5,1,1,7,186,0,16,690.0
4/1/20,0,13,56,3,1,0,0,0,27,10,0,1,0,2,22,0,10,5,0,18,3,37,1,151,1,134,18,0,3,5,1,1,7,189,0,17,736.0
4/2/20,0,15,61,3,1,0,0,0,32,9,0,1,0,3,27,0,12,8,0,21,4,37,1,164,1,160,18,0,3,5,3,1,7,211,0,18,826.0
4/3/20,0,17,66,4,1,0,1,0,36,9,0,1,0,3,27,0,12,13,0,21,4,37,2,178,2,175,20,0,3,5,3,1,7,228,0,23,899.0
4/4/20,0,17,66,4,1,0,1,0,36,9,0,1,0,3,27,0,12,13,0,21,4,37,2,178,2,175,20,0,3,5,3,1,7,228,0,23,899.0
4/5/20,0,19,84,4,6,0,1,0,39,11,0,1,0,2,33,0,13,15,0,27,4,43,2,198,2,233,24,1,3,7,3,1,7,259,0,26,1068.0
4/6/20,0,19,84,4,6,0,1,0,39,11,0,1,0,2,33,0,13,15,0,27,4,43,2,198,2,233,24,1,3,7,3,1,7,259,0,26,1068.0
4/7/20,0,21,90,4,8,0,1,2,40,12,0,1,0,2,39,0,16,18,0,29,4,44,2,209,2,243,26,1,3,8,3,1,7,271,0,25,1132.0
4/8/20,0,21,97,5,8,0,1,2,44,12,0,1,0,2,39,0,16,19,0,30,4,45,2,215,2,258,28,1,3,8,3,1,7,282,0,25,1181.0
4/9/20,0,21,109,5,10,0,1,3,50,12,0,1,0,3,44,0,16,20,0,33,4,49,2,235,5,302,29,1,4,11,3,1,7,311,0,29,1321.0
4/10/20,0,21,109,5,10,0,1,3,50,12,0,1,0,3,44,0,16,20,0,33,4,49,2,235,5,302,29,1,4,11,4,1,7,311,0,29,1322.0
4/11/20,0,21,116,6,10,0,1,3,51,12,0,1,0,4,44,0,17,24,0,34,4,49,2,246,5,317,29,1,4,11,3,1,7,320,0,28,1371.0
4/12/20,0,23,125,6,10,0,1,3,54,14,0,1,0,4,46,0,18,25,0,37,4,52,4,276,5,374,30,1,4,16,4,1,10,348,0,30,1526.0
4/13/20,0,23,132,6,12,1,1,3,54,16,0,1,0,4,47,0,19,25,0,41,4,52,4,280,5,398,30,1,4,16,4,1,10,360,0,30,1584.0
4/14/20,0,24,135,6,11,1,1,3,55,19,0,1,0,4,47,1,19,26,0,42,4,52,4,289,5,420,30,1,5,16,4,1,10,365,0,32,1633.0
4/15/20,0,25,142,6,14,1,1,3,55,20,0,1,0,4,47,1,19,26,0,44,4,53,4,294,5,430,30,1,5,17,4,1,10,364,0,32,1663.0
4/16/20,0,27,150,6,14,1,1,3,59,22,0,1,0,4,47,1,19,29,0,45,4,54,5,309,5,448,30,1,5,22,4,1,10,376,0,33,1736.0
4/17/20,0,27,153,6,14,1,1,3,61,22,0,1,0,4,48,1,19,29,0,46,4,57,5,317,5,467,31,1,6,23,4,1,10,383,0,35,1785.0
4/18/20,0,27,154,6,14,1,1,4,63,22,0,1,0,4,49,1,19,31,0,46,4,59,5,335,5,493,32,1,6,25,4,1,10,387,0,34,1844.0
4/19/20,0,27,161,6,14,1,1,4,64,22,0,1,0,4,49,1,19,30,0,48,4,59,5,358,5,514,32,1,6,26,4,1,10,399,0,34,1910.0
4/20/20,0,28,171,6,14,1,1,4,64,23,0,1,0,4,49,1,19,31,0,48,5,61,5,371,5,520,33,1,6,27,4,1,10,408,0,35,1957.0
4/21/20,0,28,173,6,14,2,1,4,64,23,0,1,0,4,48,1,19,33,0,48,5,62,5,381,5,542,33,1,6,29,4,1,11,415,0,35,2004.0
4/22/20,0,27,183,6,14,3,1,4,66,23,0,1,0,4,48,2,19,33,0,48,5,63,5,388,5,566,33,1,6,29,4,1,11,425,0,35,2059.0
4/23/20,0,27,191,6,14,4,1,4,70,24,0,1,0,5,48,2,19,36,0,48,5,67,6,397,5,582,33,1,6,30,4,1,12,443,0,35,2127.0
4/24/20,0,27,196,6,14,4,1,4,70,23,0,1,0,5,48,2,19,36,0,50,5,67,6,417,5,596,33,1,6,32,4,1,12,451,0,35,2177.0
4/25/20,0,28,201,6,14,8,1,4,71,23,0,1,0,5,49,5,19,36,0,50,5,71,6,432,5,623,37,1,6,35,4,1,12,459,0,35,2253.0
4/26/20,0,29,204,6,14,12,1,4,73,23,0,1,0,5,49,6,20,36,0,50,5,74,6,436,5,652,38,1,6,36,4,1,12,466,0,36,2311.0
4/27/20,0,29,204,6,14,14,1,4,75,23,0,1,0,5,49,6,20,36,0,50,5,79,7,447,5,664,38,1,6,36,4,1,12,475,0,37,2354.0
4/28/20,0,29,205,6,14,15,1,4,75,23,0,1,1,5,49,6,20,37,0,50,5,81,7,456,6,677,38,1,6,37,4,1,13,474,0,38,2385.0
4/29/20,0,29,206,6,14,15,1,4,75,23,0,1,1,6,49,10,20,37,0,50,5,82,7,474,6,696,39,1,6,45,4,1,13,481,0,39,2446.0
4/30/20,0,30,214,6,14,20,1,4,76,23,0,1,1,6,49,10,20,38,0,50,5,86,8,491,6,707,39,1,6,50,4,1,13,491,0,39,2510.0
5/1/20,0,32,222,7,14,21,1,4,76,24,0,1,1,6,49,10,21,39,0,50,5,87,10,508,8,720,42,1,6,57,4,1,13,500,0,39,2579.0
5/2/20,0,32,224,7,14,21,1,4,78,24,0,1,1,7,49,13,21,39,0,54,5,87,12,523,9,734,41,1,6,61,4,1,13,509,0,39,2635.0
5/3/20,0,32,225,7,14,25,1,4,78,24,0,1,1,9,49,13,22,39,0,54,5,87,13,544,9,739,41,1,6,64,4,1,13,516,0,39,2680.0
5/4/20,0,36,226,8,14,27,1,4,79,24,0,1,1,10,49,14,22,39,0,55,5,97,13,561,9,754,49,1,6,70,4,1,13,526,0,40,2759.0
5/5/20,0,39,231,17,14,28,1,4,80,24,0,1,1,11,49,14,24,39,0,55,5,98,13,574,10,769,68,1,6,73,4,1,13,531,0,41,2839.0
5/6/20,1,40,235,17,15,28,1,4,81,24,0,1,1,11,49,18,24,39,0,57,6,99,13,592,10,793,75,1,6,77,4,1,14,537,0,42,2916.0
5/7/20,1,44,241,18,15,29,1,4,83,24,0,1,1,11,49,22,24,39,0,57,6,99,13,613,11,809,78,1,6,77,4,1,14,548,0,45,2989.0
5/8/20,1,43,250,27,15,29,1,4,84,24,0,1,1,11,49,22,24,39,0,59,6,100,13,626,12,839,80,1,6,80,4,1,15,556,0,45,3068.0
5/9/20,1,44,256,28,15,30,1,4,85,24,0,1,1,12,49,24,24,39,0,60,6,102,14,663,12,863,82,1,6,84,4,1,15,562,0,47,3160.0
5/10/20,1,47,266,29,15,30,1,4,86,24,0,1,1,13,49,24,24,39,0,60,6,102,14,677,12,885,84,1,6,85,4,1,15,573,0,49,3228.0
5/11/20,1,49,268,33,15,30,1,4,86,24,0,1,1,13,49,24,24,40,0,60,6,103,14,694,12,899,87,1,6,85,4,1,15,587,0,49,3286.0
5/12/20,1,50,274,34,15,29,1,4,90,24,0,1,1,13,50,24,25,41,0,61,6,104,14,723,12,908,89,1,6,85,4,1,16,601,0,50,3358.0
5/13/20,1,50,274,37,16,30,1,4,89,24,0,1,1,14,50,24,25,41,0,61,6,105,15,746,12,921,90,1,6,86,4,1,16,614,0,50,3416.0
5/14/20,1,50,271,36,16,30,1,4,91,24,0,1,1,14,50,24,25,41,0,61,6,107,16,779,12,940,91,1,6,88,4,1,16,616,0,55,3479.0
5/15/20,3,51,277,36,16,30,1,4,94,25,0,1,1,14,50,24,25,41,0,61,7,109,17,797,12,957,92,1,6,91,5,2,16,620,0,55,3541.0
5/16/20,1,51,281,37,16,30,1,4,95,24,0,1,1,14,50,24,25,41,0,64,7,110,19,824,12,979,92,1,6,93,5,1,18,628,0,57,3612.0
5/17/20,1,51,281,37,16,30,1,4,96,25,0,1,1,14,50,24,25,41,0,64,8,109,19,827,12,984,93,1,6,93,5,1,18,628,0,57,3623.0
5/18/20,1,54,286,38,16,30,1,4,101,25,0,1,1,14,51,24,25,41,0,65,8,109,21,843,12,996,93,1,6,98,6,1,18,638,0,59,3687.0
5/19/20,1,54,284,38,16,30,1,5,107,25,0,1,1,14,52,24,25,41,0,65,8,109,21,855,12,1005,93,1,6,101,6,1,18,644,0,62,3726.0
5/20/20,1,55,284,42,16,30,1,5,116,25,0,1,1,14,52,24,27,41,0,66,8,110,21,879,12,1018,94,1,6,105,6,1,18,658,0,63,3801.0
5/21/20,1,55,284,42,16,31,1,5,117,25,0,1,1,12,52,25,25,41,0,66,8,110,24,882,12,1026,94,1,6,107,6,1,18,659,0,63,3817.0
5/22/20,1,55,289,44,16,31,1,6,116,25,0,1,1,12,55,25,25,41,0,66,8,112,28,890,12,1037,95,1,6,108,6,1,18,669,0,63,3864.0
5/23/20,1,55,290,45,16,31,4,6,117,25,0,1,1,12,56,25,25,41,0,67,8,112,28,898,12,1037,95,1,6,110,6,2,18,673,0,64,3888.0
5/24/20,1,55,290,45,16,31,5,6,119,25,0,1,1,12,57,25,25,41,0,67,9,116,28,905,12,1040,96,1,6,111,6,2,18,690,0,65,3927.0
5/25/20,1,55,294,45,16,31,5,6,120,25,0,1,1,12,60,24,26,41,0,67,9,115,28,909,12,1045,96,1,6,112,6,2,18,695,0,65,3949.0
5/26/20,1,55,296,45,16,31,6,6,120,25,0,1,1,12,60,24,25,41,0,67,9,115,28,914,12,1052,96,1,6,112,6,2,18,698,0,66,3967.0
5/27/20,1,55,300,45,16,31,6,6,120,25,0,1,1,13,65,24,25,41,2,67,11,115,28,920,12,1093,98,1,6,112,6,2,20,703,0,67,4038.0
5/28/20,1,55,304,45,16,31,6,6,121,25,0,1,1,13,65,25,25,41,2,67,10,115,33,931,12,1103,98,1,6,114,6,2,21,715,0,69,4086.0
5/29/20,1,55,305,45,16,31,6,7,121,26,0,1,1,14,65,28,23,42,2,68,12,115,32,942,12,1121,98,1,6,114,6,2,22,722,0,69,4131.0
5/30/20,1,55,306,45,16,31,6,7,124,27,0,1,1,16,65,30,23,44,2,69,12,115,32,949,11,1142,98,1,6,116,6,2,23,734,0,69,4185.0
5/31/20,1,55,312,45,16,31,6,7,125,27,0,1,1,18,66,33,23,44,2,73,12,115,32,960,11,1165,98,1,6,116,6,2,24,739,0,70,4243.0
6/1/20,1,55,317,45,16,31,6,7,127,27,0,1,1,18,67,44,24,44,2,77,15,117,32,973,12,1171,100,1,6,120,6,2,24,743,0,70,4302.0
6/2/20,1,56,317,45,16,31,6,7,127,27,0,1,1,22,67,44,24,44,2,77,17,118,32,981,12,1181,100,1,6,121,6,2,26,747,0,70,4335.0
6/3/20,1,57,324,45,16,31,6,7,128,28,0,1,1,28,68,45,23,44,2,77,18,119,32,999,12,1194,101,1,6,123,6,2,28,752,0,74,4399.0
6/4/20,1,57,333,45,16,32,7,7,133,28,0,1,1,28,69,46,23,44,2,80,23,121,32,1011,12,1224,100,1,6,124,6,2,29,755,0,75,4474.0
6/5/20,1,62,339,45,16,32,6,7,134,29,0,1,1,37,69,55,23,45,2,80,27,124,33,1028,12,1236,100,1,6,125,6,2,32,775,0,79,4570.0
6/6/20,1,62,339,45,16,32,6,7,134,29,0,1,1,37,69,55,23,45,2,80,27,124,33,1028,12,1236,100,1,6,125,6,2,32,775,0,79,4570.0
6/7/20,1,62,346,45,16,32,6,7,133,29,0,1,1,44,71,57,23,45,2,80,33,124,34,1039,13,1264,103,1,6,131,6,3,33,790,0,81,4662.0
6/8/20,1,62,377,45,16,32,6,7,135,29,0,1,1,59,71,58,23,46,2,81,155,125,34,1058,13,1302,103,1,6,144,6,3,35,800,0,85,4922.0
6/9/20,1,63,393,45,17,32,6,7,134,29,0,1,1,65,71,58,23,46,2,81,157,124,33,1066,13,1329,104,1,6,144,7,3,34,807,0,85,4988.0
6/10/20,1,63,399,45,17,32,6,7,134,29,0,1,1,67,77,64,23,46,2,82,161,124,33,1071,13,1361,104,1,6,148,7,3,34,813,0,85,5060.0
6/11/20,1,63,446,46,17,32,8,7,135,29,0,1,1,68,76,67,23,46,4,85,170,124,33,1105,13,1404,108,1,6,152,8,4,35,828,0,91,5237.0
6/12/20,1,63,455,46,20,32,8,7,137,29,0,1,1,71,78,65,23,48,4,85,184,124,33,1134,13,1440,117,1,6,157,12,4,38,849,0,91,5377.0
6/13/20,1,63,455,46,20,32,8,7,137,29,0,1,1,71,78,65,23,48,4,85,184,124,33,1134,13,1440,117,1,6,157,12,4,38,849,0,91,5377.0
6/14/20,1,63,482,46,22,32,8,7,137,29,0,1,1,81,81,67,23,51,4,89,206,126,36,1175,15,1519,124,1,6,171,22,4,39,876,0,91,5636.0
6/15/20,1,63,488,46,22,32,8,7,137,29,0,1,1,82,82,68,23,53,5,89,206,126,38,1179,15,1556,127,1,6,180,121,4,41,891,0,92,5820.0
6/16/20,1,63,509,46,22,32,9,7,137,29,0,1,1,83,83,69,24,61,5,90,223,126,38,1201,17,1598,127,1,6,181,240,4,42,928,0,94,6098.0
6/17/20,1,66,526,46,22,32,9,7,139,29,0,1,1,82,85,69,26,64,6,90,226,125,38,1218,18,1632,128,1,6,193,242,4,42,950,0,94,6218.0
6/18/20,1,66,538,46,26,32,9,7,139,29,0,1,1,85,85,73,26,68,6,90,230,126,42,1244,22,1665,131,1,6,206,247,4,42,975,0,97,6366.0
6/19/20,1,66,561,46,26,33,9,7,142,32,0,1,1,87,85,77,26,80,6,93,261,127,43,1264,27,1714,131,1,6,230,253,5,42,992,0,97,6572.0
6/20/20,1,68,580,46,26,36,9,7,142,33,0,1,1,87,87,78,26,84,6,95,284,128,49,1294,28,1748,131,1,6,234,255,7,46,1029,0,97,6750.0
6/21/20,1,67,592,46,26,36,9,7,143,33,0,1,1,87,90,78,26,88,6,102,286,129,51,1301,31,1832,130,1,6,268,258,8,47,1051,0,99,6937.0
6/22/20,1,69,607,46,26,36,9,7,147,34,0,1,1,88,91,79,26,88,6,106,292,129,51,1348,32,1849,130,1,6,279,263,8,48,1078,0,101,7083.0
6/23/20,1,68,632,46,26,37,9,7,149,34,0,1,1,89,92,81,26,95,6,107,292,129,53,1365,35,1893,131,1,7,298,282,8,52,1120,0,101,7274.0
6/24/20,1,70,640,47,26,37,9,7,153,34,0,1,1,88,94,84,26,98,6,107,301,130,58,1378,35,1938,132,1,7,333,287,8,54,1151,0,102,7444.0
6/25/20,1,76,648,48,26,39,9,7,155,34,0,1,1,88,93,85,26,111,9,112,301,132,60,1382,36,1967,134,1,7,341,297,8,55,1175,0,103,7568.0
6/26/20,1,80,665,48,27,39,9,7,159,38,0,1,1,88,98,91,28,111,12,122,305,136,73,1400,48,2028,134,1,7,363,309,8,58,1214,0,109,7818.0
6/27/20,1,82,681,48,28,40,10,7,162,38,0,1,1,88,97,94,30,111,13,136,307,140,85,1432,53,2087,136,1,7,419,320,8,60,1258,0,113,8094.0
6/28/20,1,82,699,49,29,40,10,7,170,38,0,1,1,88,106,97,31,111,13,139,310,140,96,1475,61,2139,139,1,7,467,322,8,63,1287,0,114,8341.0
6/29/20,1,82,716,49,29,40,10,7,172,40,0,1,1,88,109,100,32,116,15,145,310,140,101,1489,61,2167,139,1,9,482,327,8,68,1315,0,115,8485.0
6/30/20,1,82,733,48,29,41,10,7,181,40,0,1,1,88,114,112,33,119,17,151,312,144,108,1514,61,2202,141,1,9,492,337,8,69,1331,0,119,8656.0
7/1/20,4,84,751,49,30,41,10,7,183,42,0,1,1,88,117,118,33,123,19,165,324,151,124,1539,64,2239,149,1,11,533,342,10,73,1379,0,126,8931.0
7/2/20,4,83,773,49,31,41,11,7,192,44,0,1,1,88,131,126,41,123,19,180,327,154,140,1564,72,2301,149,1,12,620,347,10,75,1446,0,131,9294.0
7/3/20,4,91,795,49,35,42,12,8,201,45,0,1,1,88,140,131,44,125,20,196,345,156,160,1595,82,2361,154,2,13,667,355,10,85,1491,0,132,9636.0
